Radius_[mm],Normalized_Integrated_Intensity,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105
0.01512,190.8333,187.1667,184.6667,181.4167,178.6667,175.0833,171.5000,168.7500,166.2500,163.3333,160.0833,157.5000,153.0833,149.1667,144.5833,140.7500,136.5833,131.6667,126.5000,122.3333,118.5833,115.1667,112.0000,110.3333,107.9167,106.2500,105.5000,105.1667,104.1667,104.0000,103.7500,103.8333,104.7500,105.1667,106.0833,106.3333,107.0000,107.083,107.667,107.667,107.583,107.583,107.417,107.583,107.500,107.583,107.583,107.167,107.083,107.250,107.5833,107.9167,107.6667,107.9167,108.2500,108.5000,108.1667,108.6667,108.4167,108.6667,108.3333,108.7500,109.1667,109.4167,109.3333,109.1667,109.5833,110.0833,110.4167,111.0000,111.1667,111.2500,111.5833,111.7500,112.4167,112.8333,112.5833,112.7500,113.2500,112.9167,113.1667,114.0000,113.8333,114.4167,114.6667,115.1667,115.8333,115.8333,116.2500,116.0833,116.5833,116.7500,117.2500,117.5833,117.5833,117.5000,118.1667,118.0000,117.6667,118.5000,118.5000,118.9167,119.9167,119.2500,120.0833
0.03024,191.8000,188.1000,185.7500,183.0000,178.9000,175.7000,172.7500,170.3000,167.3000,164.6500,161.7500,157.5000,154.1000,149.8000,145.8500,141.4500,137.2500,132.4500,127.1500,122.9000,119.2000,115.9000,112.3500,109.7500,107.8000,106.1000,105.0500,104.3000,103.5500,103.3500,103.6500,103.7000,104.5000,104.6000,106.0000,106.0000,106.1500,106.300,106.700,106.550,107.150,107.300,106.850,107.100,107.050,106.450,107.100,106.900,107.300,107.100,107.2000,107.1500,107.2500,107.3500,107.3500,107.7000,108.4500,107.9500,108.3000,108.1500,108.3500,108.7000,108.9500,108.8500,109.0500,109.2000,109.3500,109.8000,110.1500,110.4000,110.3500,110.7000,111.3000,111.3500,111.7000,112.1000,112.5000,112.9000,112.7500,113.0500,113.4500,113.7000,114.4000,114.5000,114.7500,115.1000,114.9000,115.6000,115.8000,115.7500,116.7500,116.7500,116.9000,117.4000,117.7000,117.5500,117.0500,117.9500,117.8000,118.4500,118.6000,118.4500,118.9000,119.5500,119.4500
0.04535,190.1500,187.5500,184.1500,180.7500,177.9500,174.5000,171.4500,168.6000,166.4500,163.0000,160.0000,156.3500,152.7000,148.5500,144.5500,140.3000,135.4000,130.7500,126.0000,122.0500,118.2000,115.2500,111.4500,109.5500,106.7000,105.4000,104.3000,103.9500,102.9500,102.3500,102.7000,102.9000,103.4000,103.6000,104.8500,104.8500,105.2500,105.650,105.750,105.950,106.050,106.100,106.300,106.400,105.950,106.000,106.450,106.150,106.150,105.850,105.8500,106.3000,106.6500,106.3500,107.1500,106.6000,106.5000,106.7500,106.6000,106.9000,106.9500,107.5500,107.6500,107.7500,108.4000,108.5500,108.7500,108.8500,109.2000,108.9000,109.6500,110.0000,110.4500,111.0000,111.1000,111.1000,111.5500,111.8000,112.0500,112.2500,112.3000,113.1500,113.5000,113.7500,113.5000,114.2000,114.6000,114.8000,115.1500,115.9000,116.3500,116.2000,116.9500,117.2000,117.6500,117.5500,117.8500,118.3000,118.4000,118.7500,118.9000,119.2000,119.0000,119.4500,119.9000
0.06047,190.0357,186.3571,184.1786,181.3929,177.7500,174.4643,171.5357,168.4643,166.0714,162.6786,159.7143,155.7500,151.6071,147.9643,144.1429,139.9643,135.0357,129.9286,125.7500,121.4286,117.7143,114.7143,111.1786,108.8929,106.5357,104.8571,103.9286,103.1429,102.5714,102.1429,102.8929,102.7143,103.3571,103.8214,104.6429,104.8214,105.0714,105.500,105.750,105.429,105.536,105.821,105.821,105.964,106.071,106.143,105.857,106.107,106.429,106.643,105.8214,106.3929,106.5000,106.0357,106.5357,106.8571,106.7857,106.7857,106.8214,107.2500,107.3571,107.4643,107.8214,107.7143,108.3571,108.4643,108.8214,108.6429,109.6429,109.5714,110.2143,110.0357,110.1071,110.9643,111.2143,111.8571,111.9286,112.0714,112.2143,112.5357,112.8214,113.4286,114.0000,113.7857,114.2857,114.6071,114.8571,115.1071,115.7857,115.6429,116.0714,116.7500,116.8214,117.4643,117.7143,117.8929,117.8214,118.2500,118.7143,119.4286,119.1786,118.9643,119.6071,120.0357,120.0000
0.07559,190.9688,187.5000,184.7188,181.3438,178.4375,174.7500,171.8438,169.0000,166.0000,163.2188,159.9688,156.0625,152.3125,148.5938,144.5938,139.8750,135.3750,130.5312,126.1250,121.6250,118.1250,114.9375,111.7500,109.6250,107.2188,105.5625,104.5938,103.5625,103.0625,102.8438,102.8750,103.2500,104.0000,104.5625,104.9688,105.5312,105.6250,106.062,106.438,106.656,106.688,106.719,106.438,106.812,106.469,106.438,106.719,106.438,106.688,106.688,106.6875,106.9062,107.0938,106.7812,106.9688,107.2500,107.4688,107.3438,107.5938,107.8438,108.0938,107.7500,108.2188,108.6250,108.7500,109.5000,109.3125,109.6875,110.0000,110.0938,110.6250,110.7188,111.2188,111.0938,111.7812,112.1562,112.3750,112.3750,112.6562,112.7812,113.4375,113.7812,113.5625,114.2500,114.5625,114.4688,115.5625,115.3438,115.9062,115.9688,116.5312,116.6875,116.8750,117.4062,117.9062,118.1562,118.0625,118.5625,118.7500,119.5000,119.5625,119.2812,120.0312,120.3125,120.3125
0.09071,190.3409,187.0455,184.4545,181.2273,178.1591,175.2727,172.0000,169.1818,166.9091,163.2955,160.6136,156.7500,153.1591,149.3636,145.9773,141.3182,136.3636,131.1364,126.4091,121.9318,118.6591,115.2955,111.8409,109.5000,107.5000,105.9773,104.7500,104.0000,103.2273,103.1818,103.3636,103.5455,104.3409,105.0227,105.6818,105.9773,106.1591,106.591,106.523,106.864,106.955,106.841,107.000,107.205,107.068,106.909,107.159,107.273,107.250,107.205,107.0909,107.3182,107.4545,107.1818,107.4773,107.9545,107.7727,107.7045,108.2955,108.1591,108.6818,108.6364,109.0227,108.9545,109.4091,109.6136,109.9091,109.7045,110.3864,110.3864,111.0455,110.9318,111.6591,111.9318,112.1818,112.5227,112.8409,113.0682,113.2045,113.2955,113.7500,114.1818,114.5000,114.8182,114.8864,115.3409,115.3182,116.0455,116.4318,116.4091,116.6136,116.9318,117.5227,117.9091,118.2727,119.0000,118.6818,119.3636,119.3409,119.8636,119.9773,120.1136,120.3636,120.6818,121.0227
0.10583,190.5385,187.3077,184.8846,182.3846,179.3846,175.7308,172.7692,170.2885,167.7500,164.3846,162.3462,158.4423,154.5192,151.0385,147.0192,142.6154,137.5577,132.9615,128.4038,124.0000,120.1538,116.8077,113.5577,111.0385,108.6154,107.1538,105.8077,105.1538,104.2308,104.1154,104.5192,104.6538,105.5000,105.5192,106.2115,106.7308,106.7692,107.000,107.500,107.865,107.596,107.827,107.596,107.673,107.673,107.692,107.846,107.692,107.654,108.038,107.8077,107.8654,108.0962,108.0385,108.4615,108.5192,108.3077,108.4231,108.7115,108.9423,109.0385,109.3077,109.3654,109.8269,109.9423,110.0577,110.4231,110.4808,110.8269,111.2308,111.4038,111.5385,112.0000,112.1731,112.5000,112.9231,113.2692,113.5385,113.5385,114.0192,114.3077,114.6923,114.9423,115.2885,115.7500,115.9615,116.4808,116.5000,116.8077,117.0577,117.3462,117.8846,118.0385,118.3462,118.6346,118.6923,118.4615,119.3654,119.4038,119.7692,119.9808,120.2500,120.5577,120.5000,120.9038
0.12095,190.7917,187.4167,184.9792,181.8333,178.8333,175.9792,173.0208,170.1458,167.7083,164.6667,161.8125,158.3750,155.3958,150.8958,147.2083,142.6458,138.1042,132.6875,128.6042,124.2917,120.3542,116.9583,113.8333,110.9375,108.7292,107.3958,106.0000,105.4167,104.9375,104.2500,104.6042,104.9583,105.2292,105.9167,106.5000,106.5625,107.0208,107.521,107.562,107.625,107.938,107.750,107.917,107.604,107.646,107.479,107.562,107.396,107.729,107.708,107.6667,107.8542,107.4792,107.2917,108.0208,108.2292,108.2708,108.3750,108.3750,108.7083,108.5208,108.7917,109.3542,109.2917,109.6875,109.8125,110.1458,110.1875,110.4167,110.6875,111.0625,111.5000,111.7083,112.1875,112.2500,112.7500,113.0625,113.0000,113.1667,113.3958,114.1250,114.4583,114.5833,114.6042,115.2083,115.2083,115.6875,116.1042,116.5000,116.7500,116.5417,117.2500,117.5208,117.8333,118.0417,118.3542,118.5417,118.7917,119.3333,119.3333,119.6458,119.9375,120.0208,120.5208,120.7500
0.13606,190.1000,186.9833,184.2500,181.4500,178.2833,175.7667,172.4167,169.5833,167.3500,164.2333,161.4500,157.8667,154.1167,150.1000,146.6167,141.7167,136.7167,131.7833,127.4333,122.9000,119.2667,115.9333,112.7500,110.3333,107.8333,106.6167,105.2500,104.6500,103.9500,103.5167,103.7667,104.3833,104.7333,105.3000,105.8667,105.9833,106.2167,106.717,106.983,107.083,107.350,107.167,107.217,106.867,107.100,107.017,106.967,107.100,107.267,107.033,106.9667,107.1500,107.3167,106.9667,107.6333,107.7833,107.7667,107.9333,108.1000,108.4500,108.2000,108.6167,108.8333,108.8000,109.1167,109.3667,109.6000,109.5500,109.9833,110.1500,110.8167,111.1333,111.3167,111.2333,111.7000,112.1833,112.2667,112.6833,112.7333,113.4167,113.4333,113.7333,114.2667,114.2667,114.5833,115.1500,115.2000,115.3500,115.8167,116.2167,116.5000,116.7167,116.9500,117.4167,118.0167,118.0833,118.0667,118.2667,118.9333,118.9333,119.3167,119.2667,119.8833,120.0167,120.3000
0.15118,189.2206,186.0588,183.2059,180.4118,177.6176,174.7059,171.3382,168.9118,166.1471,163.2647,160.1471,156.4412,152.5588,148.7500,144.4559,139.8235,135.1029,129.8676,125.6324,121.5441,117.5294,114.2941,111.0000,108.2059,106.5588,104.8971,103.9559,103.0441,102.6176,102.2647,102.3529,102.8676,103.1912,103.9118,104.4853,104.7206,105.0735,105.162,105.588,105.662,105.882,105.838,105.853,105.779,106.029,106.059,105.941,105.897,105.926,105.941,105.9559,106.1912,106.1176,106.0735,106.4265,106.6618,106.5588,106.5441,106.9853,107.0588,107.2500,107.2500,108.0000,107.6765,108.1912,108.2794,108.3382,108.5735,109.2941,109.6471,109.9853,110.0147,110.5147,110.6029,110.8676,111.1324,111.4412,111.7794,112.2941,112.1471,112.6324,113.1029,113.3971,113.4118,113.7794,114.1029,114.6324,114.6765,115.0882,115.3529,115.6176,116.1765,116.3824,116.8382,117.1912,117.3382,117.4118,117.9118,118.3529,118.4559,118.6765,119.0441,119.2500,119.4412,119.6618
