 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
1,CH1_XY17:0105-0316-0433:stiched_Image_T0000_CH1_XY17,89.608,21.697,2.094,0.951,0,11.187,9.225,1944.222,8529514.000,1,0.000
2,CH1_XY17:0105-0316-0433:stiched_Image_T0001_CH1_XY17,89.608,22.599,2.627,0.951,0,11.187,9.225,2025.064,8884177.000,2,0.015
3,CH1_XY17:0105-0316-0433:stiched_Image_T0002_CH1_XY17,89.608,24.306,3.439,0.951,0,11.187,9.225,2177.978,9555025.000,3,0.030
4,CH1_XY17:0105-0316-0433:stiched_Image_T0003_CH1_XY17,89.608,26.004,4.497,0.951,0,11.187,9.225,2330.205,10222865.000,4,0.045
5,CH1_XY17:0105-0316-0433:stiched_Image_T0004_CH1_XY17,89.608,28.620,5.946,0.951,0,11.187,9.225,2564.543,11250928.000,5,0.060
6,CH1_XY17:0105-0316-0433:stiched_Image_T0005_CH1_XY17,89.608,32.307,7.830,0.951,0,11.187,9.225,2895.015,12700748.000,6,0.075
7,CH1_XY17:0105-0316-0433:stiched_Image_T0006_CH1_XY17,89.608,36.708,10.020,0.951,0,11.187,9.225,3289.337,14430679.000,7,0.091
8,CH1_XY17:0105-0316-0433:stiched_Image_T0007_CH1_XY17,89.608,40.815,12.040,0.951,0,11.187,9.225,3657.372,16045288.000,8,0.106
9,CH1_XY17:0105-0316-0433:stiched_Image_T0008_CH1_XY17,89.608,46.480,14.292,0.951,0,11.187,9.225,4165.025,18272418.000,9,0.121
10,CH1_XY17:0105-0316-0433:stiched_Image_T0009_CH1_XY17,89.608,47.950,14.920,0.951,0,11.187,9.225,4296.670,18849960.000,10,0.136
11,CH1_XY17:0105-0316-0433:stiched_Image_T0010_CH1_XY17,89.608,53.630,16.681,0.951,0,11.187,9.225,4805.707,21083162.000,11,0.151
12,CH1_XY17:0105-0316-0433:stiched_Image_T0011_CH1_XY17,89.608,59.262,18.278,0.951,0,11.187,9.225,5310.318,23296944.000,12,0.166
13,CH1_XY17:0105-0316-0433:stiched_Image_T0012_CH1_XY17,89.608,65.564,19.862,0.951,0,11.187,9.225,5875.029,25774394.000,13,0.181
14,CH1_XY17:0105-0316-0433:stiched_Image_T0013_CH1_XY17,89.608,71.493,21.313,0.951,0,11.187,9.225,6406.365,28105421.000,14,0.196
15,CH1_XY17:0105-0316-0433:stiched_Image_T0014_CH1_XY17,89.608,78.825,23.213,0.951,0,11.187,9.225,7063.388,30987852.000,15,0.211
16,CH1_XY17:0105-0316-0433:stiched_Image_T0015_CH1_XY17,89.608,87.664,25.804,0.951,0,11.187,9.225,7855.418,34462572.000,16,0.226
17,CH1_XY17:0105-0316-0433:stiched_Image_T0016_CH1_XY17,89.608,95.634,28.419,0.951,0,11.187,9.225,8569.611,37595817.000,17,0.242
18,CH1_XY17:0105-0316-0433:stiched_Image_T0017_CH1_XY17,89.608,107.059,32.393,0.951,0,11.187,9.225,9593.350,42087073.000,18,0.257
19,CH1_XY17:0105-0316-0433:stiched_Image_T0018_CH1_XY17,89.608,118.648,36.222,0.951,0,11.187,9.225,10631.819,46642946.000,19,0.272
20,CH1_XY17:0105-0316-0433:stiched_Image_T0019_CH1_XY17,89.608,134.376,40.778,0.951,0,11.187,9.225,12041.150,52825835.000,20,0.287
21,CH1_XY17:0105-0316-0433:stiched_Image_T0020_CH1_XY17,89.608,147.109,43.593,0.951,0,11.187,9.225,13182.140,57831485.000,21,0.302
22,CH1_XY17:0105-0316-0433:stiched_Image_T0021_CH1_XY17,89.608,155.919,44.231,0.951,0,11.187,9.225,13971.662,61295201.000,22,0.317
23,CH1_XY17:0105-0316-0433:stiched_Image_T0022_CH1_XY17,89.608,167.398,44.713,0.951,0,11.187,9.225,15000.236,65807669.000,23,0.332
24,CH1_XY17:0105-0316-0433:stiched_Image_T0023_CH1_XY17,89.608,175.878,43.575,0.951,0,11.187,9.225,15760.094,69141249.000,24,0.347
25,CH1_XY17:0105-0316-0433:stiched_Image_T0024_CH1_XY17,89.608,180.239,41.142,0.951,0,11.187,9.225,16150.894,70855729.000,25,0.362
26,CH1_XY17:0105-0316-0433:stiched_Image_T0025_CH1_XY17,89.608,183.685,38.988,0.951,0,11.187,9.225,16459.655,72210297.000,26,0.377
27,CH1_XY17:0105-0316-0433:stiched_Image_T0026_CH1_XY17,89.608,183.176,36.683,0.951,0,11.187,9.225,16414.077,72010341.000,27,0.393
28,CH1_XY17:0105-0316-0433:stiched_Image_T0027_CH1_XY17,89.608,179.825,35.144,0.951,0,11.187,9.225,16113.800,70692993.000,28,0.408
29,CH1_XY17:0105-0316-0433:stiched_Image_T0028_CH1_XY17,89.608,174.482,34.127,0.951,0,11.187,9.225,15635.043,68592638.000,29,0.423
30,CH1_XY17:0105-0316-0433:stiched_Image_T0029_CH1_XY17,89.608,170.664,33.968,0.951,0,11.187,9.225,15292.888,67091566.000,30,0.438
