Radius_[mm],Normalized_Integrated_Intensity,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105
0.01512,27.083334,27.500000,28.00000,28.08333,28.66667,29.58333,30.08333,30.50000,31.33333,30.33333,31.91667,32.83333,33.91667,35.50000,36.7500,38.6667,40.4167,41.5000,43.0833,44.5000,46.2500,47.3333,48.5000,49.6667,50.6667,51.0000,50.3333,51.1667,49.5000,49.4167,48.7500,48.5833,46.9167,46.1667,45.2500,44.5833,44.6667,44.3333,43.7500,44.0833,44.6667,45.0833,45.5000,45.4167,45.5833,46.0833,46.4167,46.0833,47.2500,46.2500,45.7500,46.1667,46.0833,45.9167,46.3333,46.3333,44.8333,45.9167,45.8333,45.7500,46.5833,45.9167,46.4167,47.0833,46.1667,46.6667,46.0833,46.6667,46.5000,47.2500,46.3333,47.0833,47.2500,47.4167,47.5833,47.1667,47.2500,47.1667,47.5833,45.1667,46.5833,47.5000,47.9167,46.1667,47.5833,47.6667,45.9167,46.5000,47.7500,46.7500,47.2500,46.1667,46.4167,45.8333,46.1667,45.5000,45.0833,45.4167,45.2500,45.6667,46.2500,44.6667,45.7500,45.0000,44.1667
0.03024,26.900000,27.200001,27.55000,27.90000,28.65000,29.40000,30.00000,30.40000,31.30000,30.40000,31.75000,32.95000,34.15000,35.70000,36.9000,38.7000,40.3500,41.1000,42.9000,44.4500,45.8000,47.4000,48.6500,49.7000,50.4000,50.8500,50.1500,50.9500,49.7500,49.3000,48.6500,48.4500,46.8500,46.1500,45.2000,44.0500,44.3500,43.7000,43.4500,43.6000,44.4000,44.9500,45.5500,45.2500,45.3500,46.3500,46.3000,46.3000,47.0500,46.2000,45.3000,46.0000,46.1000,45.4500,46.1500,46.0000,44.6500,45.6000,45.8000,45.4500,46.2000,46.2500,46.4000,46.6500,46.1000,46.4000,46.2000,46.3000,46.3500,46.8000,46.3000,46.9500,46.7500,47.1000,47.2500,46.8000,47.4500,47.2000,47.4500,45.1500,46.2500,47.1000,47.2500,46.1000,47.4500,47.5000,45.9000,46.3500,47.2500,46.4000,47.1000,45.9000,46.1000,45.5500,45.9000,45.2500,44.8000,45.5500,45.0000,45.7000,45.8000,44.8000,45.7500,44.9500,44.2500
0.04535,27.000000,27.150000,27.85000,28.20000,28.75000,29.40000,30.20000,30.55000,31.45000,30.45000,31.80000,32.95000,34.20000,35.75000,36.8500,38.4000,40.2000,41.1500,42.8000,44.2500,45.8500,47.9000,48.5500,49.6500,50.5000,50.8500,50.3500,50.9500,49.6500,49.0500,48.7000,48.5000,47.4000,46.3000,45.1500,44.1500,44.6000,43.8000,43.4000,43.5500,44.4000,44.6500,45.4500,45.0500,45.3500,46.0500,46.2500,45.9500,47.0500,46.3000,45.3000,45.9000,46.4000,45.5500,46.0500,45.9500,44.6000,45.3000,45.7000,45.4000,46.2000,46.2000,46.1000,46.5000,45.9000,46.4000,46.1500,46.5500,46.4500,46.9000,46.5000,46.7500,46.7500,47.0500,47.1000,46.8000,47.5500,46.9500,47.3500,45.1500,46.3000,47.0000,47.0000,45.8500,47.4500,47.5000,45.4000,46.2000,47.3000,46.4500,46.9000,45.9000,46.1000,45.5500,45.8000,45.1000,44.7000,45.1500,44.7000,45.6000,45.9500,44.4500,45.4500,44.7000,43.9500
0.06047,27.285715,27.535715,28.03572,28.10714,28.75000,29.46428,30.25000,30.46428,31.46428,30.42857,31.96428,33.07143,34.07143,35.67857,36.9643,38.5000,40.2500,41.1429,43.1071,44.3929,45.7500,47.4286,48.2143,49.2857,50.2143,50.7857,50.2857,50.7143,49.6071,49.2143,48.4286,48.2143,46.9286,46.0357,45.0357,44.1429,44.2857,43.6786,43.3571,43.6071,44.2500,44.7143,45.3214,45.0714,45.3214,45.8571,46.1786,45.9286,47.0357,45.8929,45.1429,45.6786,46.0000,45.2500,45.8929,45.8214,44.6071,45.3571,45.5714,45.2143,46.0000,46.1429,45.8214,46.2857,45.6786,46.1429,45.8214,46.2857,46.1071,46.6071,46.2143,46.5714,46.8214,46.8214,46.8571,46.7143,47.2500,46.7500,47.1071,45.0714,46.0000,46.9643,46.7500,45.6786,47.0000,47.1786,45.2143,46.0714,46.9643,46.2143,46.7500,45.5357,45.7500,45.3929,45.6786,44.9286,44.5714,45.0357,44.4643,45.4286,45.6429,44.3214,45.1786,44.4643,43.7857
0.07559,27.281250,27.562500,28.03125,28.21875,28.68750,29.43750,30.28125,30.56250,31.68750,30.56250,31.93750,33.21875,34.18750,35.78125,36.9688,38.4375,40.3438,41.2188,42.6562,44.1250,45.4062,47.2188,48.0000,49.2500,50.0000,50.5625,50.1250,50.6562,49.3438,49.0625,48.2500,48.4375,46.9688,46.1875,44.9062,43.9688,44.1562,43.6875,43.3750,43.5000,44.1875,44.6250,45.3438,44.8750,45.0000,45.6250,46.1562,45.7500,46.8438,45.9375,45.0938,45.5625,45.8125,45.3438,45.8750,45.6250,44.6250,45.1562,45.5312,45.2188,45.8750,46.0625,45.8438,46.3125,45.5625,46.1562,45.9375,46.0938,45.9688,46.5625,46.0000,46.4375,46.6562,46.8125,46.5625,46.5938,47.2500,46.7188,46.9688,45.1250,45.9062,46.9062,46.7812,45.6562,47.0938,47.0312,45.2188,46.0625,47.0312,46.1875,46.6875,45.6250,45.8125,45.2188,45.7500,44.8125,44.3750,44.9688,44.2812,45.1875,45.5938,44.2188,45.1250,44.3438,43.7500
0.09071,27.136364,27.340910,28.00000,28.13636,28.75000,29.38636,30.15909,30.52273,31.54545,30.36364,31.95455,32.97727,34.22727,35.56818,37.0000,38.5227,40.1591,40.9318,42.6364,44.2500,45.5682,46.9545,48.0682,49.0909,49.8409,50.5227,49.7955,50.3636,49.1818,48.8409,48.3636,48.1136,46.8182,46.0682,45.0455,44.0455,44.1136,43.5682,43.2500,43.5682,44.1818,44.6136,45.1136,44.9318,45.2727,45.6818,46.1136,45.7045,46.8636,45.7045,45.0682,45.5000,45.7955,45.3636,45.9091,45.7045,44.4545,45.2955,45.4318,45.2045,45.8409,45.9545,45.9318,46.2727,45.6818,46.0909,45.7500,46.0227,45.8409,46.5227,46.0227,46.3409,46.5455,46.7045,46.6591,46.6136,47.0682,46.6818,46.9773,45.0455,45.7955,46.7955,46.8182,45.5682,46.9091,46.9318,45.2727,46.0455,46.7500,46.2045,46.5682,45.4318,45.8864,45.0455,45.5455,44.6364,44.3409,45.0682,44.1591,45.1136,45.5455,44.1591,45.1364,44.4773,43.5455
0.10583,27.173077,27.346153,28.07692,28.09615,28.78846,29.42308,30.09615,30.34615,31.55769,30.34615,31.73077,32.94231,34.13462,35.53846,36.7885,38.4615,39.9808,40.8654,42.5000,44.0192,45.2885,47.0577,47.9615,49.0385,49.7692,50.3462,49.9038,50.1923,49.1346,48.7500,48.1923,48.1154,46.7500,46.0769,45.0385,44.1538,44.0000,43.5962,43.1923,43.4808,44.2115,44.5962,45.0192,44.8269,45.1923,45.6538,46.0962,45.8077,46.6923,45.6731,45.0962,45.4808,45.8269,45.3462,45.8269,45.7308,44.5769,45.1731,45.4038,45.1154,45.8269,45.9615,45.8269,46.3269,45.7308,46.1154,45.6731,46.1154,45.9423,46.4615,45.9231,46.5577,46.5769,46.6538,46.6923,46.5769,47.0192,46.6538,46.9231,44.9231,45.8654,46.6154,46.4808,45.5577,46.8462,46.8462,45.1731,45.8846,46.7500,46.1538,46.6346,45.4808,45.7692,45.1731,45.5577,44.5192,44.4808,44.9615,44.1346,45.0385,45.6346,44.1346,45.0769,44.3269,43.5385
0.12095,27.125000,27.333334,27.97917,28.10417,28.85417,29.39583,30.08333,30.45833,31.56250,30.54167,31.83333,32.93750,34.12500,35.39583,36.7917,38.4167,40.0208,41.0417,42.6250,44.0833,45.3333,46.8125,48.0208,49.2500,50.0208,50.5625,49.9583,50.3542,49.3333,48.9792,48.3333,48.0417,46.6875,46.0417,45.0625,44.1250,44.0000,43.6667,43.1875,43.5625,44.1667,44.7083,45.0625,44.9167,45.1250,45.7708,45.9792,45.6250,46.7083,45.8333,45.1042,45.6250,45.8958,45.3125,45.8542,45.7292,44.3542,45.1042,45.4583,45.1042,45.8958,46.0625,45.6667,46.3333,45.6250,46.2292,45.5833,46.1875,45.9167,46.5208,46.0208,46.3125,46.4583,46.6458,46.6875,46.5208,47.0208,46.6875,46.8542,44.9167,45.7708,46.7292,46.6042,45.6458,46.8958,46.8542,45.1667,45.9792,46.7917,46.1250,46.6667,45.4167,45.7708,45.2292,45.6250,44.6667,44.4375,44.9167,44.2708,45.0625,45.5417,43.9375,45.1875,44.2500,43.5417
0.13606,27.100000,27.250000,28.00000,28.06667,28.70000,29.43333,30.11667,30.53333,31.55000,30.43333,31.83333,33.00000,34.13334,35.50000,36.8667,38.4167,39.9667,41.0333,42.6333,44.0333,45.4333,47.1167,48.1000,49.3333,50.1333,50.8000,50.0333,50.6833,49.3833,49.0667,48.4167,48.2500,46.7833,46.0333,45.0167,44.0167,44.0000,43.4667,43.1000,43.5833,44.1833,44.5833,44.9667,44.8333,45.1667,45.8000,46.0833,45.6667,46.7167,45.8000,45.0833,45.5500,45.7833,45.2500,45.8000,45.7500,44.3500,45.2000,45.3333,45.1667,46.0500,46.0333,45.8833,46.3333,45.6833,46.1833,45.7333,46.1667,45.9333,46.5667,45.9500,46.5000,46.5500,46.7167,46.8667,46.6000,47.2167,46.6167,46.8667,44.9667,45.7667,46.7167,46.6833,45.7500,47.0667,46.9000,45.2000,46.0000,46.9333,46.2167,46.5833,45.4000,45.7500,45.1833,45.5167,44.6167,44.3667,44.7167,44.2333,44.9667,45.5167,43.9333,45.0167,44.2833,43.5000
0.15118,27.250000,27.382353,27.97059,28.17647,28.82353,29.52941,30.20588,30.47059,31.60294,30.52941,31.92647,33.01471,34.05882,35.61765,36.9706,38.4559,39.9559,41.0441,42.6765,44.2206,45.4706,47.2353,48.1912,49.4118,50.1618,50.7794,50.0147,50.5882,49.4412,49.1618,48.3529,48.2206,46.8824,46.0882,44.9853,44.1029,44.0000,43.5294,43.2941,43.5441,44.1471,44.6176,44.9412,44.8971,45.1765,45.7500,45.9853,45.6618,46.7206,45.8529,45.0441,45.5735,45.8824,45.3088,45.6324,45.7206,44.4706,45.1324,45.3235,45.1324,45.8824,45.9853,45.8235,46.3971,45.7059,46.1618,45.7794,46.1471,45.8971,46.6324,45.9853,46.4559,46.5147,46.6912,46.8971,46.7206,47.2059,46.7206,46.9559,44.9412,45.9118,46.7059,46.7206,45.7206,47.0147,47.0147,45.1471,45.9412,46.8824,46.1618,46.7206,45.5000,45.7059,45.2794,45.5588,44.7206,44.4118,44.8529,44.3235,45.1324,45.4412,43.9706,45.1029,44.3382,43.5735
