 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
39,CH2_XY17:0105-0316-0433:stiched_Image_T0038_CH2_XY17,89.608,49.659,4.914,0.951,0,11.187,9.225,4449.871,19522068.000,39,0.574
40,CH2_XY17:0105-0316-0433:stiched_Image_T0039_CH2_XY17,89.608,49.396,4.891,0.951,0,11.187,9.225,4426.318,19418738.000,40,0.589
41,CH2_XY17:0105-0316-0433:stiched_Image_T0040_CH2_XY17,89.608,49.410,4.821,0.951,0,11.187,9.225,4427.582,19424285.000,41,0.604
42,CH2_XY17:0105-0316-0433:stiched_Image_T0041_CH2_XY17,89.608,49.134,4.693,0.951,0,11.187,9.225,4402.835,19315716.000,42,0.619
43,CH2_XY17:0105-0316-0433:stiched_Image_T0042_CH2_XY17,89.608,48.815,4.504,0.951,0,11.187,9.225,4374.210,19190136.000,43,0.634
44,CH2_XY17:0105-0316-0433:stiched_Image_T0043_CH2_XY17,89.608,47.686,4.224,0.951,0,11.187,9.225,4273.044,18746309.000,44,0.649
45,CH2_XY17:0105-0316-0433:stiched_Image_T0044_CH2_XY17,89.608,47.891,3.995,0.951,0,11.187,9.225,4291.408,18826874.000,45,0.664
46,CH2_XY17:0105-0316-0433:stiched_Image_T0045_CH2_XY17,89.608,47.968,3.744,0.951,0,11.187,9.225,4298.368,18857410.000,46,0.679
47,CH2_XY17:0105-0316-0433:stiched_Image_T0046_CH2_XY17,89.608,48.341,3.497,0.951,0,11.187,9.225,4331.774,19003965.000,47,0.694
48,CH2_XY17:0105-0316-0433:stiched_Image_T0047_CH2_XY17,89.608,47.507,3.159,0.951,0,11.187,9.225,4257.035,18676076.000,48,0.710
49,CH2_XY17:0105-0316-0433:stiched_Image_T0048_CH2_XY17,89.608,48.322,2.934,0.951,0,11.187,9.225,4330.025,18996292.000,49,0.725
50,CH2_XY17:0105-0316-0433:stiched_Image_T0049_CH2_XY17,89.608,47.081,2.606,0.951,0,11.187,9.225,4218.871,18508646.000,50,0.740
51,CH2_XY17:0105-0316-0433:stiched_Image_T0050_CH2_XY17,89.608,46.733,2.323,0.951,0,11.187,9.225,4187.639,18371628.000,51,0.755
52,CH2_XY17:0105-0316-0433:stiched_Image_T0051_CH2_XY17,89.608,47.169,2.138,0.951,0,11.187,9.225,4226.689,18542947.000,52,0.770
53,CH2_XY17:0105-0316-0433:stiched_Image_T0052_CH2_XY17,89.608,47.230,2.058,0.951,0,11.187,9.225,4232.206,18567147.000,53,0.785
54,CH2_XY17:0105-0316-0433:stiched_Image_T0053_CH2_XY17,89.608,47.138,1.902,0.951,0,11.187,9.225,4223.934,18530859.000,54,0.800
55,CH2_XY17:0105-0316-0433:stiched_Image_T0054_CH2_XY17,89.608,47.349,1.939,0.951,0,11.187,9.225,4242.829,18613754.000,55,0.815
56,CH2_XY17:0105-0316-0433:stiched_Image_T0055_CH2_XY17,89.608,47.440,1.962,0.951,0,11.187,9.225,4251.016,18649668.000,56,0.830
57,CH2_XY17:0105-0316-0433:stiched_Image_T0056_CH2_XY17,89.608,46.813,1.934,0.951,0,11.187,9.225,4194.835,18403197.000,57,0.845
58,CH2_XY17:0105-0316-0433:stiched_Image_T0057_CH2_XY17,89.608,47.367,2.072,0.951,0,11.187,9.225,4244.465,18620931.000,58,0.861
59,CH2_XY17:0105-0316-0433:stiched_Image_T0058_CH2_XY17,89.608,47.566,2.277,0.951,0,11.187,9.225,4262.297,18699159.000,59,0.876
60,CH2_XY17:0105-0316-0433:stiched_Image_T0059_CH2_XY17,89.608,47.819,2.282,0.951,0,11.187,9.225,4284.931,18798458.000,60,0.891
61,CH2_XY17:0105-0316-0433:stiched_Image_T0060_CH2_XY17,89.608,48.647,2.417,0.951,0,11.187,9.225,4359.169,19124151.000,61,0.906
62,CH2_XY17:0105-0316-0433:stiched_Image_T0061_CH2_XY17,89.608,49.059,2.602,0.951,0,11.187,9.225,4396.051,19285955.000,62,0.921
63,CH2_XY17:0105-0316-0433:stiched_Image_T0062_CH2_XY17,89.608,49.129,2.578,0.951,0,11.187,9.225,4402.358,19313626.000,63,0.936
