 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
1,CH4_XY17:0105-0316-0433:stiched_Image_T0000_CH4_XY17,89.608,189.985,5.313,0.951,0,11.187,9.225,17024.210,74687061.000,1,0.000
2,CH4_XY17:0105-0316-0433:stiched_Image_T0001_CH4_XY17,89.608,188.049,5.902,0.951,0,11.187,9.225,16850.749,73926072.000,2,0.015
3,CH4_XY17:0105-0316-0433:stiched_Image_T0002_CH4_XY17,89.608,186.073,6.614,0.951,0,11.187,9.225,16673.684,73149268.000,3,0.030
4,CH4_XY17:0105-0316-0433:stiched_Image_T0003_CH4_XY17,89.608,184.133,7.301,0.951,0,11.187,9.225,16499.795,72386399.000,4,0.045
5,CH4_XY17:0105-0316-0433:stiched_Image_T0004_CH4_XY17,89.608,182.078,8.073,0.951,0,11.187,9.225,16315.650,71578531.000,5,0.060
6,CH4_XY17:0105-0316-0433:stiched_Image_T0005_CH4_XY17,89.608,179.876,8.915,0.951,0,11.187,9.225,16118.338,70712903.000,6,0.075
7,CH4_XY17:0105-0316-0433:stiched_Image_T0006_CH4_XY17,89.608,177.749,9.757,0.951,0,11.187,9.225,15927.746,69876756.000,7,0.091
8,CH4_XY17:0105-0316-0433:stiched_Image_T0007_CH4_XY17,89.608,175.546,10.597,0.951,0,11.187,9.225,15730.338,69010705.000,8,0.106
9,CH4_XY17:0105-0316-0433:stiched_Image_T0008_CH4_XY17,89.608,173.297,11.417,0.951,0,11.187,9.225,15528.846,68126738.000,9,0.121
10,CH4_XY17:0105-0316-0433:stiched_Image_T0009_CH4_XY17,89.608,170.888,12.178,0.951,0,11.187,9.225,15312.960,67179621.000,10,0.136
11,CH4_XY17:0105-0316-0433:stiched_Image_T0010_CH4_XY17,89.608,168.711,12.989,0.951,0,11.187,9.225,15117.907,66323902.000,11,0.151
12,CH4_XY17:0105-0316-0433:stiched_Image_T0011_CH4_XY17,89.608,166.151,13.792,0.951,0,11.187,9.225,14888.507,65317501.000,12,0.166
13,CH4_XY17:0105-0316-0433:stiched_Image_T0012_CH4_XY17,89.608,163.662,14.698,0.951,0,11.187,9.225,14665.469,64339011.000,13,0.181
14,CH4_XY17:0105-0316-0433:stiched_Image_T0013_CH4_XY17,89.608,160.965,15.636,0.951,0,11.187,9.225,14423.794,63278754.000,14,0.196
15,CH4_XY17:0105-0316-0433:stiched_Image_T0014_CH4_XY17,89.608,158.249,16.541,0.951,0,11.187,9.225,14180.422,62211054.000,15,0.211
16,CH4_XY17:0105-0316-0433:stiched_Image_T0015_CH4_XY17,89.608,155.293,17.478,0.951,0,11.187,9.225,13915.561,61049080.000,16,0.226
17,CH4_XY17:0105-0316-0433:stiched_Image_T0016_CH4_XY17,89.608,151.981,18.442,0.951,0,11.187,9.225,13618.722,59746814.000,17,0.242
18,CH4_XY17:0105-0316-0433:stiched_Image_T0017_CH4_XY17,89.608,148.388,19.442,0.951,0,11.187,9.225,13296.743,58334259.000,18,0.257
19,CH4_XY17:0105-0316-0433:stiched_Image_T0018_CH4_XY17,89.608,144.747,20.372,0.951,0,11.187,9.225,12970.558,56903249.000,19,0.272
20,CH4_XY17:0105-0316-0433:stiched_Image_T0019_CH4_XY17,89.608,140.845,21.105,0.951,0,11.187,9.225,12620.859,55369081.000,20,0.287
21,CH4_XY17:0105-0316-0433:stiched_Image_T0020_CH4_XY17,89.608,136.995,21.667,0.951,0,11.187,9.225,12275.918,53855788.000,21,0.302
22,CH4_XY17:0105-0316-0433:stiched_Image_T0021_CH4_XY17,89.608,133.212,22.024,0.951,0,11.187,9.225,11936.890,52368437.000,22,0.317
