 ,Label,Area,Mean,StdDev,BX,BY,Width,Height,IntDen,RawIntDen,Slice,mm
23,CH4_XY17:0105-0316-0433:stiched_Image_T0022_CH4_XY17,89.608,129.307,22.125,0.951,0,11.187,9.225,11586.943,50833182.000,23,0.332
24,CH4_XY17:0105-0316-0433:stiched_Image_T0023_CH4_XY17,89.608,125.700,22.057,0.951,0,11.187,9.225,11263.744,49415271.000,24,0.347
25,CH4_XY17:0105-0316-0433:stiched_Image_T0024_CH4_XY17,89.608,122.363,21.796,0.951,0,11.187,9.225,10964.745,48103530.000,25,0.362
26,CH4_XY17:0105-0316-0433:stiched_Image_T0025_CH4_XY17,89.608,119.111,21.360,0.951,0,11.187,9.225,10673.339,46825099.000,26,0.377
27,CH4_XY17:0105-0316-0433:stiched_Image_T0026_CH4_XY17,89.608,116.360,20.855,0.951,0,11.187,9.225,10426.806,45743533.000,27,0.393
28,CH4_XY17:0105-0316-0433:stiched_Image_T0027_CH4_XY17,89.608,113.776,20.250,0.951,0,11.187,9.225,10195.229,44727581.000,28,0.408
29,CH4_XY17:0105-0316-0433:stiched_Image_T0028_CH4_XY17,89.608,111.490,19.648,0.951,0,11.187,9.225,9990.383,43828896.000,29,0.423
30,CH4_XY17:0105-0316-0433:stiched_Image_T0029_CH4_XY17,89.608,109.504,19.028,0.951,0,11.187,9.225,9812.424,43048172.000,30,0.438
31,CH4_XY17:0105-0316-0433:stiched_Image_T0030_CH4_XY17,89.608,107.922,18.444,0.951,0,11.187,9.225,9670.674,42426298.000,31,0.453
32,CH4_XY17:0105-0316-0433:stiched_Image_T0031_CH4_XY17,89.608,106.510,17.849,0.951,0,11.187,9.225,9544.146,41871207.000,32,0.468
33,CH4_XY17:0105-0316-0433:stiched_Image_T0032_CH4_XY17,89.608,105.437,17.337,0.951,0,11.187,9.225,9447.978,41449310.000,33,0.483
34,CH4_XY17:0105-0316-0433:stiched_Image_T0033_CH4_XY17,89.608,104.482,16.808,0.951,0,11.187,9.225,9362.440,41074045.000,34,0.498
35,CH4_XY17:0105-0316-0433:stiched_Image_T0034_CH4_XY17,89.608,103.785,16.363,0.951,0,11.187,9.225,9300.024,40800218.000,35,0.513
36,CH4_XY17:0105-0316-0433:stiched_Image_T0035_CH4_XY17,89.608,103.185,15.913,0.951,0,11.187,9.225,9246.203,40564099.000,36,0.528
37,CH4_XY17:0105-0316-0433:stiched_Image_T0036_CH4_XY17,89.608,102.718,15.519,0.951,0,11.187,9.225,9204.354,40380501.000,37,0.544
38,CH4_XY17:0105-0316-0433:stiched_Image_T0037_CH4_XY17,89.608,102.395,15.187,0.951,0,11.187,9.225,9175.390,40253433.000,38,0.559
39,CH4_XY17:0105-0316-0433:stiched_Image_T0038_CH4_XY17,89.608,102.202,14.840,0.951,0,11.187,9.225,9158.119,40177666.000,39,0.574
40,CH4_XY17:0105-0316-0433:stiched_Image_T0039_CH4_XY17,89.608,102.071,14.551,0.951,0,11.187,9.225,9146.370,40126123.000,40,0.589
41,CH4_XY17:0105-0316-0433:stiched_Image_T0040_CH4_XY17,89.608,101.819,14.231,0.951,0,11.187,9.225,9123.797,40027091.000,41,0.604
42,CH4_XY17:0105-0316-0433:stiched_Image_T0041_CH4_XY17,89.608,101.780,13.940,0.951,0,11.187,9.225,9120.361,40012016.000,42,0.619
43,CH4_XY17:0105-0316-0433:stiched_Image_T0042_CH4_XY17,89.608,101.709,13.660,0.951,0,11.187,9.225,9113.985,39984046.000,43,0.634
44,CH4_XY17:0105-0316-0433:stiched_Image_T0043_CH4_XY17,89.608,101.696,13.363,0.951,0,11.187,9.225,9112.785,39978779.000,44,0.649
45,CH4_XY17:0105-0316-0433:stiched_Image_T0044_CH4_XY17,89.608,101.662,13.096,0.951,0,11.187,9.225,9109.778,39965588.000,45,0.664
46,CH4_XY17:0105-0316-0433:stiched_Image_T0045_CH4_XY17,89.608,101.675,12.801,0.951,0,11.187,9.225,9110.890,39970465.000,46,0.679
47,CH4_XY17:0105-0316-0433:stiched_Image_T0046_CH4_XY17,89.608,101.689,12.499,0.951,0,11.187,9.225,9112.183,39976141.000,47,0.694
48,CH4_XY17:0105-0316-0433:stiched_Image_T0047_CH4_XY17,89.608,101.746,12.227,0.951,0,11.187,9.225,9117.251,39998372.000,48,0.710
49,CH4_XY17:0105-0316-0433:stiched_Image_T0048_CH4_XY17,89.608,101.778,11.951,0.951,0,11.187,9.225,9120.171,40011182.000,49,0.725
50,CH4_XY17:0105-0316-0433:stiched_Image_T0049_CH4_XY17,89.608,101.843,11.687,0.951,0,11.187,9.225,9125.986,40036695.000,50,0.740
51,CH4_XY17:0105-0316-0433:stiched_Image_T0050_CH4_XY17,89.608,101.822,11.410,0.951,0,11.187,9.225,9124.045,40028180.000,51,0.755
52,CH4_XY17:0105-0316-0433:stiched_Image_T0051_CH4_XY17,89.608,101.997,11.183,0.951,0,11.187,9.225,9139.745,40097057.000,52,0.770
53,CH4_XY17:0105-0316-0433:stiched_Image_T0052_CH4_XY17,89.608,102.084,10.984,0.951,0,11.187,9.225,9147.537,40131239.000,53,0.785
54,CH4_XY17:0105-0316-0433:stiched_Image_T0053_CH4_XY17,89.608,102.021,10.755,0.951,0,11.187,9.225,9141.952,40106737.000,54,0.800
55,CH4_XY17:0105-0316-0433:stiched_Image_T0054_CH4_XY17,89.608,102.312,10.569,0.951,0,11.187,9.225,9168.010,40221060.000,55,0.815
56,CH4_XY17:0105-0316-0433:stiched_Image_T0055_CH4_XY17,89.608,102.340,10.378,0.951,0,11.187,9.225,9170.504,40232000.000,56,0.830
57,CH4_XY17:0105-0316-0433:stiched_Image_T0056_CH4_XY17,89.608,102.380,10.210,0.951,0,11.187,9.225,9174.095,40247755.000,57,0.845
58,CH4_XY17:0105-0316-0433:stiched_Image_T0057_CH4_XY17,89.608,102.402,10.067,0.951,0,11.187,9.225,9176.064,40256392.000,58,0.861
59,CH4_XY17:0105-0316-0433:stiched_Image_T0058_CH4_XY17,89.608,102.499,9.936,0.951,0,11.187,9.225,9184.737,40294443.000,59,0.876
60,CH4_XY17:0105-0316-0433:stiched_Image_T0059_CH4_XY17,89.608,102.586,9.831,0.951,0,11.187,9.225,9192.564,40328777.000,60,0.891
61,CH4_XY17:0105-0316-0433:stiched_Image_T0060_CH4_XY17,89.608,102.604,9.711,0.951,0,11.187,9.225,9194.160,40335779.000,61,0.906
62,CH4_XY17:0105-0316-0433:stiched_Image_T0061_CH4_XY17,89.608,102.715,9.632,0.951,0,11.187,9.225,9204.137,40379551.000,62,0.921
63,CH4_XY17:0105-0316-0433:stiched_Image_T0062_CH4_XY17,89.608,102.788,9.583,0.951,0,11.187,9.225,9210.628,40408030.000,63,0.936
64,CH4_XY17:0105-0316-0433:stiched_Image_T0063_CH4_XY17,89.608,102.796,9.485,0.951,0,11.187,9.225,9211.380,40411326.000,64,0.951
65,CH4_XY17:0105-0316-0433:stiched_Image_T0064_CH4_XY17,89.608,103.024,9.462,0.951,0,11.187,9.225,9231.768,40500771.000,65,0.966
66,CH4_XY17:0105-0316-0433:stiched_Image_T0065_CH4_XY17,89.608,103.198,9.414,0.951,0,11.187,9.225,9247.396,40569332.000,66,0.981
67,CH4_XY17:0105-0316-0433:stiched_Image_T0066_CH4_XY17,89.608,103.279,9.368,0.951,0,11.187,9.225,9254.645,40601133.000,67,0.996
68,CH4_XY17:0105-0316-0433:stiched_Image_T0067_CH4_XY17,89.608,103.355,9.322,0.951,0,11.187,9.225,9261.449,40630986.000,68,1.012
69,CH4_XY17:0105-0316-0433:stiched_Image_T0068_CH4_XY17,89.608,103.593,9.348,0.951,0,11.187,9.225,9282.806,40724681.000,69,1.027
70,CH4_XY17:0105-0316-0433:stiched_Image_T0069_CH4_XY17,89.608,103.805,9.312,0.951,0,11.187,9.225,9301.744,40807764.000,70,1.042
71,CH4_XY17:0105-0316-0433:stiched_Image_T0070_CH4_XY17,89.608,103.947,9.303,0.951,0,11.187,9.225,9314.522,40863824.000,71,1.057
72,CH4_XY17:0105-0316-0433:stiched_Image_T0071_CH4_XY17,89.608,104.178,9.275,0.951,0,11.187,9.225,9335.192,40954502.000,72,1.072
73,CH4_XY17:0105-0316-0433:stiched_Image_T0072_CH4_XY17,89.608,104.388,9.245,0.951,0,11.187,9.225,9354.002,41037024.000,73,1.087
74,CH4_XY17:0105-0316-0433:stiched_Image_T0073_CH4_XY17,89.608,104.555,9.257,0.951,0,11.187,9.225,9369.019,41102905.000,74,1.102
75,CH4_XY17:0105-0316-0433:stiched_Image_T0074_CH4_XY17,89.608,104.717,9.203,0.951,0,11.187,9.225,9383.513,41166494.000,75,1.117
76,CH4_XY17:0105-0316-0433:stiched_Image_T0075_CH4_XY17,89.608,105.053,9.206,0.951,0,11.187,9.225,9413.586,41298426.000,76,1.132
77,CH4_XY17:0105-0316-0433:stiched_Image_T0076_CH4_XY17,89.608,105.127,9.184,0.951,0,11.187,9.225,9420.224,41327547.000,77,1.147
78,CH4_XY17:0105-0316-0433:stiched_Image_T0077_CH4_XY17,89.608,105.476,9.179,0.951,0,11.187,9.225,9451.535,41464912.000,78,1.163
79,CH4_XY17:0105-0316-0433:stiched_Image_T0078_CH4_XY17,89.608,105.627,9.159,0.951,0,11.187,9.225,9465.071,41524295.000,79,1.178
80,CH4_XY17:0105-0316-0433:stiched_Image_T0079_CH4_XY17,89.608,105.815,9.124,0.951,0,11.187,9.225,9481.911,41598178.000,80,1.193
81,CH4_XY17:0105-0316-0433:stiched_Image_T0080_CH4_XY17,89.608,106.087,9.109,0.951,0,11.187,9.225,9506.274,41705058.000,81,1.208
82,CH4_XY17:0105-0316-0433:stiched_Image_T0081_CH4_XY17,89.608,106.300,9.124,0.951,0,11.187,9.225,9525.379,41788874.000,82,1.223
83,CH4_XY17:0105-0316-0433:stiched_Image_T0082_CH4_XY17,89.608,106.597,9.080,0.951,0,11.187,9.225,9551.991,41905625.000,83,1.238
84,CH4_XY17:0105-0316-0433:stiched_Image_T0083_CH4_XY17,89.608,106.719,9.092,0.951,0,11.187,9.225,9562.925,41953591.000,84,1.253
85,CH4_XY17:0105-0316-0433:stiched_Image_T0084_CH4_XY17,89.608,107.088,9.056,0.951,0,11.187,9.225,9595.950,42098479.000,85,1.268
86,CH4_XY17:0105-0316-0433:stiched_Image_T0085_CH4_XY17,89.608,107.314,9.054,0.951,0,11.187,9.225,9616.196,42187300.000,86,1.283
87,CH4_XY17:0105-0316-0433:stiched_Image_T0086_CH4_XY17,89.608,107.570,9.025,0.951,0,11.187,9.225,9639.184,42288150.000,87,1.298
88,CH4_XY17:0105-0316-0433:stiched_Image_T0087_CH4_XY17,89.608,107.815,9.000,0.951,0,11.187,9.225,9661.076,42384191.000,88,1.313
89,CH4_XY17:0105-0316-0433:stiched_Image_T0088_CH4_XY17,89.608,108.108,8.991,0.951,0,11.187,9.225,9687.399,42499675.000,89,1.329
90,CH4_XY17:0105-0316-0433:stiched_Image_T0089_CH4_XY17,89.608,108.354,8.936,0.951,0,11.187,9.225,9709.422,42596290.000,90,1.344
91,CH4_XY17:0105-0316-0433:stiched_Image_T0090_CH4_XY17,89.608,108.644,8.922,0.951,0,11.187,9.225,9735.386,42710199.000,91,1.359
92,CH4_XY17:0105-0316-0433:stiched_Image_T0091_CH4_XY17,89.608,108.883,8.938,0.951,0,11.187,9.225,9756.827,42804263.000,92,1.374
93,CH4_XY17:0105-0316-0433:stiched_Image_T0092_CH4_XY17,89.608,109.107,8.907,0.951,0,11.187,9.225,9776.865,42892173.000,93,1.389
94,CH4_XY17:0105-0316-0433:stiched_Image_T0093_CH4_XY17,89.608,109.487,8.883,0.951,0,11.187,9.225,9810.927,43041603.000,94,1.404
95,CH4_XY17:0105-0316-0433:stiched_Image_T0094_CH4_XY17,89.608,109.674,8.866,0.951,0,11.187,9.225,9827.660,43115015.000,95,1.419
96,CH4_XY17:0105-0316-0433:stiched_Image_T0095_CH4_XY17,89.608,109.967,8.678,0.951,0,11.187,9.225,9853.969,43230433.000,96,1.434
97,CH4_XY17:0105-0316-0433:stiched_Image_T0096_CH4_XY17,89.608,110.102,8.632,0.951,0,11.187,9.225,9866.068,43283516.000,97,1.449
98,CH4_XY17:0105-0316-0433:stiched_Image_T0097_CH4_XY17,89.608,110.399,8.628,0.951,0,11.187,9.225,9892.700,43400351.000,98,1.464
99,CH4_XY17:0105-0316-0433:stiched_Image_T0098_CH4_XY17,89.608,110.674,8.632,0.951,0,11.187,9.225,9917.301,43508280.000,99,1.480
100,CH4_XY17:0105-0316-0433:stiched_Image_T0099_CH4_XY17,89.608,110.929,8.591,0.951,0,11.187,9.225,9940.122,43608396.000,100,1.495
101,CH4_XY17:0105-0316-0433:stiched_Image_T0100_CH4_XY17,89.608,111.217,8.602,0.951,0,11.187,9.225,9965.930,43721622.000,101,1.510
102,CH4_XY17:0105-0316-0433:stiched_Image_T0101_CH4_XY17,89.608,111.415,8.576,0.951,0,11.187,9.225,9983.720,43799668.000,102,1.525
103,CH4_XY17:0105-0316-0433:stiched_Image_T0102_CH4_XY17,89.608,111.606,8.549,0.951,0,11.187,9.225,10000.787,43874543.000,103,1.540
104,CH4_XY17:0105-0316-0433:stiched_Image_T0103_CH4_XY17,89.608,111.931,8.515,0.951,0,11.187,9.225,10029.941,44002445.000,104,1.555
105,CH4_XY17:0105-0316-0433:stiched_Image_T0104_CH4_XY17,89.608,112.173,8.506,0.951,0,11.187,9.225,10051.656,44097711.000,105,1.570
