X,Y
12.381,20923.572
24.762,21798.625
37.143,23024.795
49.524,24146.729
61.905,24894.000
74.286,25806.678
86.667,26304.350
99.048,26436.275
111.429,26301.611
123.810,25951.199
136.190,25376.883
148.571,24909.750
160.952,24680.666
173.333,24479.217
185.714,24480.404
198.095,24220.158
210.476,24065.783
222.857,24366.750
235.238,23998.842
247.619,23978.504
260.000,24204.350
272.381,23657.727
284.762,23246.322
297.143,23004.221
309.524,22606.609
321.905,22681.189
334.286,22869.383
346.667,23526.965
359.048,23853.947
371.429,24350.998
383.810,24670.387
396.190,25170.648
408.571,25555.359
420.952,25936.586
433.333,26127.797
445.714,26302.488
458.095,26414.641
470.476,26359.342
482.857,26024.441
495.238,26096.426
507.619,25810.955
520.000,25618.334
532.381,25742.861
544.762,25658.428
557.143,25600.293
569.524,25357.693
581.905,25096.291
594.286,24919.709
606.667,24753.553
619.048,24360.328
631.429,23999.426
643.810,23742.701
656.190,23584.363
668.571,23406.064
680.952,23648.754
693.333,23778.158
705.714,23861.898
718.095,24215.336
730.476,24352.920
742.857,24438.346
755.238,24617.412
767.619,24599.410
780.000,24486.904
792.381,24389.617
804.762,24391.590
817.143,24464.035
829.524,24611.242
841.905,24822.693
854.286,24794.006
866.667,24936.020
879.048,24946.500
891.429,24626.023
903.810,24775.062
916.190,24856.182
928.571,24864.123
940.952,25066.344
953.333,25041.213
965.714,25120.584
978.095,25403.936
990.476,25648.469
1002.857,25924.043
1015.238,26377.793
1027.619,26577.145
1040.000,26583.621
1052.381,26695.377
1064.762,26586.791
1077.143,26329.068
1089.524,26260.350
1101.905,26103.670
1114.286,25995.148
1126.667,26067.631
1139.048,26152.938
1151.429,26116.184
1163.810,26145.303
1176.191,26205.766
1188.571,26213.992
1200.952,26340.215
1213.333,26463.643
1225.714,26505.865
1238.095,26656.865
1250.476,26739.508
1262.857,26660.484
1275.238,26779.758
1287.619,26835.723
1300.000,26990.168
1312.381,27037.936
1324.762,27070.666
1337.143,27109.852
1349.524,27136.754
1361.905,27085.574
1374.286,27116.578
1386.667,26977.852
1399.048,26915.066
1411.429,26851.326
1423.810,26764.057
1436.191,26773.809
1448.571,26881.627
1460.952,26919.711
1473.333,27012.496
1485.714,27112.072
1498.095,27128.098
1510.476,27207.727
1522.857,27386.438
1535.238,27496.988
1547.619,27561.576
1560.000,27519.236
1572.381,27460.529
1584.762,27476.791
1597.143,27431.883
1609.524,27415.125
1621.905,27463.033
1634.286,27471.082
1646.667,27530.572
1659.048,27558.721
1671.429,27686.771
1683.810,27790.721
1696.191,27910.145
1708.571,28066.908
1720.952,28179.057
1733.333,28177.518
1745.714,28239.039
1758.095,28173.314
1770.476,28205.791
1782.857,28245.682
1795.238,28292.586
1807.619,28471.779
1820.000,28610.848
1832.381,28678.734
1844.762,28776.148
1857.143,28869.932
1869.524,28825.838
1881.905,28876.018
1894.286,28906.141
1906.667,28819.115
1919.048,28813.523
1931.429,28828.527
1943.810,28812.422
1956.191,28849.422
1968.571,28889.461
1980.952,28915.566
1993.333,28982.701
2005.714,29064.004
2018.095,29253.957
2030.476,29482.143
2042.857,29592.156
2055.238,29692.320
2067.619,29705.258
2080.000,29598.490
2092.381,29508.553
2104.762,29435.031
2117.143,29204.043
2129.524,28887.971
2141.905,28627.887
2154.286,28240.480
2166.667,27751.840
2179.048,27423.969
2191.429,27183.213
2203.810,26731.385
2216.190,26466.461
2228.572,26494.441
2240.952,26407.342
2253.333,26578.334
2265.714,26841.904
2278.095,27035.133
2290.476,27137.205
2302.857,27328.041
2315.238,27089.096
2327.619,26966.705
2340.000,26930.787
2352.381,26641.916
2364.762,26592.123
2377.143,26780.203
2389.524,26698.572
2401.905,26783.729
2414.286,26816.791
2426.667,26883.943
2439.048,26981.475
2451.429,27036.031
2463.810,27345.807
2476.190,27631.246
2488.572,27688.896
2500.952,27864.992
2513.333,27873.285
2525.714,27633.969
2538.095,27543.941
2550.476,27456.494
2562.857,27397.566
2575.238,27205.705
2587.619,27234.766
2600.000,27198.305
2612.381,27010.348
2624.762,26956.068
2637.143,26782.006
2649.524,26648.791
2661.905,26536.357
2674.286,26386.424
2686.667,26348.357
2699.048,26319.725
2711.429,26370.117
2723.810,26158.123
2736.190,26096.166
2748.572,26093.305
2760.952,26173.564
2773.333,26121.053
2785.714,26209.629
2798.095,26160.332
2810.476,26069.158
2822.857,25986.090
2835.238,25879.891
2847.619,25857.396
2860.000,25950.627
2872.381,26177.404
2884.762,26466.129
2897.143,26653.697
2909.524,26716.789
2921.905,26524.219
2934.286,26220.123
2946.667,25988.045
2959.048,25680.168
2971.429,25498.898
2983.810,25431.264
2996.190,25392.189
3008.572,25576.453
3020.952,25439.066
3033.333,25477.490
3045.714,25686.914
3058.095,25490.824
3070.476,25481.082
3082.857,25565.621
3095.238,25482.215
3107.619,25469.100
3120.000,25662.742
3132.381,25750.461
3144.762,25918.074
3157.143,26001.203
3169.524,26034.453
3181.905,26011.051
3194.286,25837.975
3206.667,25846.811
3219.048,25786.688
3231.429,25795.537
3243.810,25899.594
3256.190,25881.418
3268.572,25880.814
3280.952,25861.213
3293.333,25718.764
3305.714,25393.340
3318.095,25360.217
3330.476,25243.000
3342.857,25086.262
3355.238,25421.639
3367.619,25595.477
3380.000,25714.594
3392.381,26099.309
3404.762,26266.953
3417.143,26278.668
3429.524,26430.771
3441.905,26432.994
3454.286,26334.152
3466.667,26267.865
3479.048,26122.816
3491.429,26064.654
3503.810,26016.336
3516.190,25967.039
3528.572,26016.721
3540.952,25907.793
3553.333,25852.684
3565.714,25833.568
3578.095,25809.172
3590.476,25796.242
3602.857,25681.752
3615.238,25734.631
3627.619,25631.930
3640.000,25441.484
3652.381,25515.525
3664.762,25589.664
3677.143,25764.820
3689.524,25963.902
3701.905,26017.305
3714.286,25918.500
3726.667,25745.639
3739.048,25573.168
3751.429,25432.568
3763.810,25186.559
3776.190,25161.402
3788.572,25268.281
3800.952,25304.256
3813.333,25527.996
3825.714,25665.355
3838.095,25717.678
3850.476,25746.896
3862.857,25695.477
3875.238,25699.973
3887.619,25725.664
3900.000,25490.543
3912.381,25426.352
3924.762,25286.729
3937.143,25109.346
3949.524,25040.787
3961.905,25019.967
3974.286,24893.967
3986.667,24907.246
3999.048,24842.725
4011.429,24758.518
4023.810,24838.977
4036.190,24924.354
4048.572,24978.014
4060.952,25090.555
4073.333,25059.973
4085.714,24937.947
4098.095,24746.514
4110.476,24611.531
4122.857,24420.137
4135.238,24412.264
4147.619,24356.109
4160.000,24318.576
4172.381,24462.791
4184.762,24507.111
4197.143,24462.689
4209.524,24502.021
4221.905,24459.199
4234.286,24439.717
4246.667,24454.789
4259.048,24460.969
4271.429,24492.783
4283.810,24526.008
4296.190,24590.352
4308.571,24682.732
4320.953,24697.584
4333.333,24811.090
4345.714,24918.223
4358.095,24797.486
4370.476,24783.674
4382.857,24965.639
4395.238,24873.225
4407.619,24953.746
4420.000,25055.045
4432.381,24918.217
4444.762,24792.373
4457.143,24792.412
4469.524,24554.875
4481.905,24398.629
4494.286,24358.604
4506.667,24232.033
4519.048,24139.771
4531.429,24250.562
4543.810,24223.916
4556.190,24211.453
4568.571,24216.129
4580.953,24123.611
4593.333,23956.020
4605.714,23909.279
4618.095,23813.318
4630.476,23836.926
4642.857,23889.656
4655.238,23879.533
4667.619,23882.869
4680.000,23758.320
4692.381,23658.117
4704.762,23595.219
4717.143,23594.867
4729.524,23639.674
4741.905,23720.320
4754.286,23736.221
4766.667,23689.553
4779.048,23629.508
4791.429,23658.057
4803.810,23695.982
4816.190,23754.348
4828.571,23912.666
4840.953,24037.316
4853.333,24144.691
4865.714,24188.180
4878.095,24147.031
4890.476,24007.439
4902.857,23915.541
4915.238,23807.311
4927.619,23787.213
4940.000,23785.020
4952.381,23752.625
4964.762,23749.873
4977.143,23659.961
4989.524,23646.227
5001.905,23665.172
5014.286,23721.936
5026.667,23688.664
5039.048,23749.307
5051.429,23802.041
5063.810,23808.281
5076.190,23837.859
5088.571,23822.117
5100.953,23764.566
5113.333,23708.381
