X,Y
12.381,14735.000
24.762,14646.750
37.143,14410.568
49.524,14405.917
61.905,14477.000
74.286,14814.869
86.667,15229.037
99.048,15635.925
111.429,16001.034
123.810,16301.983
136.190,16405.934
148.571,16423.301
160.952,16189.473
173.333,15844.368
185.714,15542.111
198.095,15169.046
210.476,14990.961
222.857,14844.279
235.238,15019.553
247.619,15057.977
260.000,14774.227
272.381,14759.081
284.762,14655.561
297.143,14398.217
309.524,14721.155
321.905,14951.718
334.286,14983.950
346.667,15203.676
359.048,15368.513
371.429,15244.450
383.810,15442.271
396.190,15487.534
408.571,15282.263
420.952,15267.049
433.333,15114.829
445.714,14854.401
458.095,14652.425
470.476,14448.577
482.857,14392.647
495.238,14218.464
507.619,14244.361
520.000,14225.663
532.381,14235.799
544.762,14144.818
557.143,14043.737
569.524,13984.962
581.905,13844.318
594.286,13674.072
606.667,13604.010
619.048,13573.447
631.429,13284.419
643.810,13243.484
656.190,13094.755
668.571,12866.971
680.952,12914.315
693.333,12867.036
705.714,12900.112
718.095,12887.717
730.476,12868.060
742.857,12772.979
755.238,12658.173
767.619,12505.878
780.000,12563.971
792.381,12537.093
804.762,12568.287
817.143,12822.454
829.524,12928.448
841.905,13033.433
854.286,13198.365
866.667,13135.271
879.048,13110.287
891.429,12984.517
903.810,12983.103
916.190,12953.277
928.571,12885.991
940.952,13120.055
953.333,13374.943
965.714,13607.413
978.095,13910.761
990.476,14073.887
1002.857,14089.646
1015.238,14043.786
1027.619,14055.714
1040.000,14114.880
1052.381,14241.393
1064.762,14482.616
1077.143,14543.594
1089.524,14609.283
1101.905,14656.933
1114.286,14876.157
1126.667,15137.365
1139.048,15230.678
1151.429,15134.949
1163.810,15135.172
1176.191,15062.224
1188.571,14904.852
1200.952,15131.785
1213.333,15171.530
1225.714,15132.898
1238.095,15151.887
1250.476,15149.146
1262.857,15235.028
1275.238,15406.979
1287.619,15593.217
1300.000,15788.773
1312.381,15986.844
1324.762,16041.978
1337.143,15925.778
1349.524,15871.029
1361.905,15818.813
1374.286,15653.615
1386.667,15741.994
1399.048,15694.941
1411.429,15837.610
1423.810,15784.193
1436.191,15842.573
1448.571,15870.554
1460.952,15804.848
1473.333,15747.655
1485.714,15624.605
1498.095,15576.128
1510.476,15472.052
1522.857,15337.961
1535.238,15346.572
1547.619,15231.575
1560.000,15186.691
1572.381,15084.196
1584.762,15094.512
1597.143,15219.010
1609.524,15326.031
1621.905,15354.662
1634.286,15421.391
1646.667,15299.803
1659.048,15190.917
1671.429,15127.939
1683.810,14930.931
1696.191,14853.695
1708.571,14874.591
1720.952,14925.866
1733.333,15026.206
1745.714,15254.619
1758.095,15160.984
1770.476,15197.594
1782.857,15299.324
1795.238,15220.185
1807.619,15259.564
1820.000,15455.917
1832.381,15434.425
1844.762,15531.505
1857.143,15596.180
1869.524,15554.900
1881.905,15478.833
1894.286,15347.097
1906.667,15248.587
1919.048,15142.908
1931.429,15192.160
1943.810,15078.048
1956.191,15177.525
1968.571,15370.670
1980.952,15511.063
1993.333,15698.762
2005.714,15805.161
2018.095,15790.890
2030.476,15785.333
2042.857,15701.763
2055.238,15629.929
2067.619,15611.161
2080.000,15543.998
2092.381,15407.939
2104.762,15205.463
2117.143,15166.616
2129.524,15061.055
2141.905,15056.781
2154.286,15033.103
2166.667,14874.659
2179.048,14893.390
2191.429,14882.882
2203.810,14843.570
2216.190,14814.587
2228.572,14782.772
2240.952,14793.446
2253.333,14765.727
2265.714,14634.720
2278.095,14515.998
2290.476,14280.074
2302.857,14112.716
2315.238,14112.168
2327.619,14138.333
2340.000,14098.789
2352.381,14329.496
2364.762,14442.063
2377.143,14424.251
2389.524,14627.008
2401.905,14518.391
2414.286,14421.452
2426.667,14486.884
2439.048,14542.489
2451.429,14495.226
2463.810,14575.352
2476.190,14616.225
2488.572,14552.950
2500.952,14473.685
2513.333,14403.996
2525.714,14197.131
2538.095,14016.097
2550.476,13808.880
2562.857,13657.929
2575.238,13647.077
2587.619,13780.380
2600.000,14044.450
2612.381,14206.025
2624.762,14303.109
2637.143,14507.514
2649.524,14529.572
2661.905,14522.749
2674.286,14498.995
2686.667,14351.944
2699.048,14293.739
2711.429,14266.814
2723.810,14242.189
2736.190,14269.109
2748.572,14228.624
2760.952,14255.053
2773.333,14278.078
2785.714,14232.553
2798.095,14164.283
2810.476,14136.506
2822.857,13986.955
2835.238,13865.726
2847.619,13745.729
2860.000,13647.792
2872.381,13619.577
2884.762,13658.220
2897.143,13565.291
2909.524,13663.207
2921.905,13823.404
2934.286,13810.037
2946.667,13938.281
2959.048,14016.207
2971.429,14002.134
2983.810,14145.030
2996.190,14165.179
3008.572,14144.981
3020.952,14158.533
3033.333,14098.736
3045.714,13999.652
3058.095,13988.563
3070.476,13927.391
3082.857,14015.081
3095.238,13998.540
3107.619,13942.403
3120.000,14110.990
3132.381,14083.173
3144.762,14054.145
3157.143,14155.474
3169.524,14128.054
3181.905,14133.709
3194.286,14170.361
3206.667,14183.431
3219.048,14242.226
3231.429,14226.122
3243.810,14249.096
3256.190,14138.246
3268.572,14004.341
3280.952,13913.812
3293.333,13828.585
3305.714,13746.389
3318.095,13716.893
3330.476,13665.670
3342.857,13769.236
3355.238,13858.826
3367.619,13890.118
3380.000,13934.898
3392.381,13762.024
3404.762,13622.240
3417.143,13592.687
3429.524,13433.171
3441.905,13546.712
3454.286,13740.233
3466.667,13909.285
3479.048,14051.959
3491.429,14131.965
3503.810,14213.938
3516.190,14088.829
3528.572,13928.465
3540.952,13938.620
3553.333,13896.356
3565.714,13865.551
3578.095,13899.810
3590.476,13937.822
3602.857,14059.950
3615.238,14143.201
3627.619,14170.531
3640.000,14175.857
3652.381,14137.582
3664.762,14184.254
3677.143,14169.269
3689.524,14118.612
3701.905,14017.811
3714.286,13778.362
3726.667,13587.850
3739.048,13523.559
3751.429,13454.466
3763.810,13500.287
3776.190,13669.875
3788.572,13713.547
3800.952,13772.647
3813.333,13691.160
3825.714,13679.907
3838.095,13668.817
3850.476,13723.478
3862.857,13887.008
3875.238,14071.944
3887.619,14199.780
3900.000,14211.304
3912.381,14211.985
3924.762,14147.244
3937.143,14136.668
3949.524,13943.888
3961.905,13912.975
3974.286,13959.838
3986.667,13919.035
3999.048,13956.295
4011.429,13931.751
4023.810,13854.722
4036.190,13812.384
4048.572,13695.393
4060.952,13557.044
4073.333,13595.235
4085.714,13641.177
4098.095,13838.293
4110.476,14028.923
4122.857,14119.446
4135.238,14280.218
4147.619,14238.157
4160.000,14088.610
4172.381,13973.885
4184.762,13914.564
4197.143,13878.325
4209.524,13845.778
4221.905,13813.430
4234.286,13729.394
4246.667,13599.643
4259.048,13611.791
4271.429,13683.102
4283.810,13625.856
4296.190,13711.879
4308.571,13729.900
4320.953,13686.729
4333.333,13676.792
4345.714,13687.066
4358.095,13688.324
4370.476,13730.731
4382.857,13756.261
4395.238,13903.752
4407.619,14012.892
4420.000,14014.624
4432.381,14025.551
4444.762,13970.819
4457.143,13862.050
4469.524,13808.569
4481.905,13818.253
4494.286,13753.539
4506.667,13686.040
4519.048,13580.894
4531.429,13478.119
4543.810,13361.359
4556.190,13308.799
4568.571,13306.547
4580.953,13333.018
4593.333,13430.271
4605.714,13490.693
4618.095,13499.375
4630.476,13537.016
4642.857,13569.952
4655.238,13538.847
4667.619,13532.933
4680.000,13509.804
4692.381,13510.091
4704.762,13456.536
4717.143,13401.354
4729.524,13369.324
4741.905,13308.521
4754.286,13281.822
4766.667,13254.352
4779.048,13219.996
4791.429,13130.170
4803.810,13059.748
4816.190,13062.332
4828.571,13139.844
4840.953,13271.396
4853.333,13384.275
4865.714,13444.354
4878.095,13539.037
4890.476,13507.088
4902.857,13437.265
4915.238,13296.398
4927.619,13263.734
4940.000,13230.627
4952.381,13129.271
4964.762,13139.552
4977.143,13120.775
4989.524,13115.005
5001.905,13078.372
5014.286,12968.899
5026.667,12825.672
5039.048,12723.312
5051.429,12663.106
5063.810,12681.485
5076.190,12692.495
5088.571,12809.140
5100.953,12981.271
5113.333,13149.151
5125.714,13261.468
5138.095,13385.448
5150.476,13454.924
5162.857,13436.712
5175.238,13415.746
5187.619,13294.944
5200.000,13185.982
5212.381,13133.343
5224.762,13133.879
5237.143,13183.612
5249.524,13213.755
5261.905,13226.759
5274.286,13171.703
5286.667,13101.442
5299.048,13087.614
5311.429,13077.050
5323.810,13088.416
5336.190,13031.029
5348.571,12950.454
5360.953,12858.458
5373.333,12747.238
5385.714,12684.580
5398.095,12609.974
5410.476,12550.121
5422.857,12525.004
5435.238,12495.350
5447.619,12498.924
5460.000,12414.130
5472.381,12425.104
5484.762,12391.827
5497.143,12324.675
5509.524,12341.010
5521.905,12320.439
5534.286,12384.355
5546.667,12513.411
5559.048,12606.661
5571.429,12729.930
5583.810,12845.393
5596.190,12920.424
5608.571,12980.479
5620.953,12945.913
5633.333,12867.035
5645.714,12853.660
5658.095,12839.478
5670.476,12847.576
5682.857,12883.218
5695.238,12850.781
5707.619,12812.965
5720.000,12742.668
5732.381,12678.253
5744.762,12569.756
5757.143,12469.999
5769.524,12352.566
5781.905,12286.816
5794.286,12255.729
5806.667,12203.288
5819.048,12157.088
5831.429,12176.243
5843.810,12166.178
5856.190,12133.086
5868.571,12193.870
5880.953,12166.542
5893.333,12214.110
5905.714,12258.878
5918.095,12233.253
5930.476,12199.414
5942.857,12213.859
5955.238,12182.948
5967.619,12183.229
5980.000,12186.142
5992.381,12124.555
6004.762,12040.492
6017.143,11924.215
6029.524,11823.991
6041.905,11776.464
6054.286,11719.765
6066.667,11711.693
6079.048,11724.607
6091.429,11634.296
6103.810,11659.766
6116.190,11726.631
6128.571,11706.615
6140.953,11651.959
6153.333,11583.453
6165.714,11508.889
6178.095,11460.505
6190.476,11385.062
6202.857,11305.278
6215.238,11330.023
6227.619,11328.474
6240.000,11344.446
6252.381,11391.978
6264.762,11436.448
6277.143,11446.358
6289.524,11467.689
6301.905,11412.480
6314.286,11367.390
6326.667,11350.861
6339.048,11358.379
6351.429,11308.011
6363.810,11265.822
6376.190,11251.613
6388.572,11220.502
6400.953,11188.319
6413.333,11174.569
6425.714,11148.375
6438.095,11135.506
6450.476,11118.851
6462.857,11083.498
6475.238,11085.762
6487.619,11085.838
6500.000,11030.262
6512.381,10973.821
6524.762,10889.896
6537.143,10883.889
6549.524,10904.531
6561.905,10923.590
