X,Y
12.381,6191.000
24.762,6160.833
37.143,6156.159
49.524,6142.292
61.905,6202.071
74.286,6335.107
86.667,6508.938
99.048,6669.350
111.429,6868.543
123.810,7015.500
136.190,7179.208
148.571,7247.186
160.952,7307.465
173.333,7332.835
185.714,7466.899
198.095,7532.511
210.476,7671.933
222.857,7632.136
235.238,7725.664
247.619,7715.861
260.000,7649.554
272.381,7832.673
284.762,7884.282
297.143,7850.600
309.524,7807.746
321.905,7664.929
334.286,7548.574
346.667,7283.565
359.048,7098.714
371.429,6932.714
383.810,6796.549
396.190,6766.287
408.571,6681.624
420.952,6709.417
433.333,6714.633
445.714,6623.142
458.095,6640.644
470.476,6657.546
482.857,6606.726
495.238,6696.321
507.619,6704.154
520.000,6636.738
532.381,6604.362
544.762,6559.536
557.143,6561.597
569.524,6470.604
581.905,6456.653
594.286,6441.883
606.667,6391.524
619.048,6334.727
631.429,6343.275
643.810,6331.864
656.190,6294.239
668.571,6260.793
680.952,6203.704
693.333,6226.222
705.714,6231.656
718.095,6232.698
730.476,6215.390
742.857,6114.472
755.238,6143.874
767.619,6078.626
780.000,6046.235
792.381,6050.293
804.762,6127.344
817.143,6177.036
829.524,6361.492
841.905,6414.764
854.286,6345.942
866.667,6331.106
879.048,6259.437
891.429,6242.302
903.810,6248.618
916.190,6281.558
928.571,6290.117
940.952,6312.278
953.333,6365.490
965.714,6415.803
978.095,6444.188
990.476,6455.915
1002.857,6488.793
1015.238,6472.331
1027.619,6544.248
1040.000,6669.547
1052.381,6758.803
1064.762,6890.795
1077.143,6974.451
1089.524,7033.654
1101.905,7039.466
1114.286,7080.863
1126.667,7085.854
1139.048,7173.385
1151.429,7275.531
1163.810,7363.915
1176.191,7451.022
1188.571,7545.275
1200.952,7552.616
1213.333,7581.752
1225.714,7603.973
1238.095,7574.979
1250.476,7598.254
1262.857,7591.733
1275.238,7558.361
1287.619,7571.493
1300.000,7542.479
1312.381,7540.917
1324.762,7491.812
1337.143,7457.346
1349.524,7405.453
1361.905,7413.281
1374.286,7489.599
1386.667,7485.163
1399.048,7554.729
1411.429,7592.764
1423.810,7643.527
1436.191,7714.048
1448.571,7737.685
1460.952,7742.846
1473.333,7750.395
1485.714,7772.640
1498.095,7693.448
1510.476,7654.426
