X,Y
12.381,31234.238
24.762,29750.250
37.143,27613.137
49.524,25023.500
61.905,23184.785
74.286,21884.928
86.667,21457.551
99.048,21086.775
111.429,20990.018
123.810,20941.758
136.190,20858.592
148.571,21091.359
160.952,21317.723
173.333,21659.941
185.714,22176.016
198.095,22615.914
210.476,22928.762
222.857,23074.543
235.238,22774.283
247.619,22481.371
260.000,22310.562
272.381,21763.105
284.762,21637.545
297.143,21922.834
309.524,21559.428
321.905,21174.156
334.286,21372.350
346.667,20932.641
359.048,20555.068
371.429,20810.012
383.810,20249.355
396.190,20394.812
408.571,20955.096
420.952,20909.205
433.333,20922.314
445.714,21018.746
458.095,20649.084
470.476,20440.934
482.857,20200.504
495.238,19991.494
507.619,20037.959
520.000,20311.197
532.381,20425.504
544.762,20493.303
557.143,20460.986
569.524,20127.205
581.905,19648.010
594.286,19253.826
606.667,18917.518
619.048,18750.176
631.429,18852.963
643.810,18717.949
656.190,18667.363
668.571,18592.160
680.952,18701.254
693.333,18853.443
705.714,18937.664
718.095,19282.977
730.476,19582.582
742.857,19798.281
755.238,20222.938
767.619,20578.371
780.000,20619.029
792.381,20800.684
804.762,20702.641
817.143,20363.148
829.524,20039.969
841.905,19662.152
854.286,19399.070
866.667,19319.934
879.048,19550.430
891.429,19769.691
903.810,20102.604
916.190,20237.527
928.571,20276.646
940.952,20274.082
953.333,20328.426
965.714,20469.902
978.095,20522.045
990.476,20788.857
1002.857,21110.582
1015.238,21205.229
1027.619,21198.869
1040.000,21076.359
1052.381,20914.775
1064.762,20778.736
1077.143,20696.666
1089.524,20614.271
1101.905,20595.012
1114.286,20564.729
1126.667,20671.117
1139.048,20728.756
1151.429,20693.975
1163.810,20683.768
1176.191,20790.504
1188.571,20847.781
1200.952,20907.037
1213.333,21014.512
1225.714,21065.545
1238.095,21232.650
1250.476,21319.199
1262.857,21338.369
1275.238,21464.551
1287.619,21488.684
1300.000,21584.518
1312.381,21568.658
1324.762,21668.689
1337.143,21783.922
1349.524,21701.986
1361.905,21694.676
1374.286,21713.154
1386.667,21676.969
1399.048,21733.039
1411.429,21924.254
1423.810,21994.656
1436.191,22068.201
1448.571,22176.461
1460.952,22075.799
1473.333,22056.609
1485.714,21941.549
1498.095,21863.539
1510.476,21720.900
1522.857,21545.971
1535.238,21526.998
1547.619,21554.400
1560.000,21567.535
1572.381,21451.031
1584.762,21477.539
1597.143,21490.467
1609.524,21617.029
1621.905,21839.885
1634.286,22082.230
1646.667,22395.316
1659.048,22452.432
1671.429,22391.258
1683.810,22419.381
1696.191,22253.305
1708.571,21964.957
1720.952,21906.369
1733.333,21707.973
1745.714,21417.688
1758.095,21204.635
1770.476,20998.203
1782.857,20833.404
1795.238,20661.625
1807.619,20534.740
1820.000,20326.619
1832.381,20293.365
1844.762,20306.951
1857.143,20158.643
1869.524,20272.051
1881.905,20230.332
1894.286,20167.463
1906.667,20336.482
1919.048,20486.396
1931.429,20434.734
1943.810,20610.734
1956.191,20733.352
1968.571,20853.010
1980.952,20896.039
1993.333,20933.193
2005.714,20917.561
2018.095,20759.986
2030.476,20581.326
2042.857,20432.172
2055.238,20227.014
2067.619,20078.400
2080.000,19801.227
2092.381,19734.564
2104.762,19883.752
2117.143,19982.514
2129.524,20271.418
2141.905,20437.219
2154.286,20355.176
2166.667,20410.365
2179.048,20284.486
2191.429,20274.256
2203.810,20474.955
2216.190,20558.832
2228.572,20700.611
2240.952,20740.242
2253.333,20695.098
2265.714,20685.932
2278.095,20830.385
2290.476,20678.920
2302.857,20464.717
2315.238,20303.264
2327.619,20158.969
2340.000,20127.500
2352.381,20277.855
2364.762,20469.889
2377.143,20561.670
2389.524,20749.283
2401.905,20817.293
2414.286,20687.312
2426.667,20749.346
2439.048,20597.389
2451.429,20431.664
2463.810,20291.814
2476.190,20154.371
