X,Y
12.381,791.190
24.762,778.958
37.143,780.500
49.524,777.021
61.905,768.893
74.286,780.298
86.667,773.162
99.048,783.300
111.429,790.319
123.810,792.283
136.190,791.342
148.571,787.160
160.952,784.715
173.333,776.776
185.714,785.920
198.095,780.085
210.476,782.494
222.857,790.780
235.238,787.755
247.619,784.560
260.000,788.635
272.381,782.435
284.762,778.278
297.143,785.517
309.524,785.898
321.905,787.464
334.286,784.191
346.667,785.711
359.048,794.882
371.429,795.118
383.810,795.573
396.190,794.489
408.571,798.785
420.952,799.226
433.333,799.269
445.714,800.672
458.095,798.123
470.476,802.031
482.857,795.926
495.238,796.413
507.619,800.819
520.000,797.762
532.381,799.855
544.762,800.856
557.143,802.002
569.524,801.746
581.905,808.812
594.286,805.438
606.667,802.228
619.048,804.746
631.429,806.735
643.810,806.755
656.190,808.852
668.571,808.498
680.952,810.075
693.333,809.657
705.714,807.383
718.095,810.402
730.476,809.245
742.857,810.056
755.238,812.320
767.619,810.234
780.000,811.960
792.381,809.076
804.762,812.096
817.143,811.294
829.524,813.574
841.905,813.315
854.286,815.169
866.667,811.105
879.048,814.629
891.429,812.584
903.810,810.990
916.190,813.717
928.571,811.454
940.952,812.371
953.333,812.238
965.714,815.194
978.095,816.670
990.476,814.284
1002.857,814.302
1015.238,816.866
1027.619,817.469
1040.000,816.917
1052.381,817.880
1064.762,818.433
1077.143,815.605
1089.524,818.065
1101.905,819.103
1114.286,818.518
1126.667,816.502
1139.048,817.224
1151.429,820.315
1163.810,819.568
1176.191,817.247
1188.571,816.110
1200.952,815.560
1213.333,816.773
1225.714,819.089
1238.095,818.105
1250.476,819.765
1262.857,819.926
1275.238,819.062
1287.619,817.583
1300.000,817.334
1312.381,816.034
1324.762,820.178
1337.143,815.986
1349.524,818.600
1361.905,817.615
1374.286,819.342
1386.667,819.195
1399.048,821.153
1411.429,819.425
1423.810,821.245
1436.191,823.987
1448.571,821.304
1460.952,823.471
1473.333,821.874
1485.714,819.766
1498.095,821.586
1510.476,820.755
1522.857,821.641
1535.238,821.507
1547.619,822.953
1560.000,823.646
1572.381,822.349
1584.762,822.094
1597.143,823.745
1609.524,824.562
1621.905,826.025
1634.286,826.173
1646.667,824.238
1659.048,826.017
1671.429,825.275
1683.810,822.962
1696.191,825.851
1708.571,825.426
1720.952,826.062
1733.333,824.737
1745.714,822.683
1758.095,823.781
1770.476,822.982
1782.857,823.466
1795.238,822.116
1807.619,825.562
1820.000,825.523
1832.381,826.788
1844.762,824.930
1857.143,824.638
1869.524,823.413
1881.905,822.606
1894.286,824.611
1906.667,824.439
1919.048,825.187
1931.429,826.523
1943.810,824.469
1956.191,824.639
1968.571,823.920
1980.952,822.339
1993.333,820.079
2005.714,824.070
2018.095,820.843
2030.476,819.962
2042.857,822.284
2055.238,817.537
2067.619,817.417
2080.000,818.675
2092.381,818.412
2104.762,820.839
2117.143,820.335
2129.524,818.934
2141.905,816.835
2154.286,815.136
2166.667,814.505
2179.048,813.580
2191.429,813.568
2203.810,813.633
2216.190,812.848
2228.572,813.474
2240.952,814.316
2253.333,814.498
2265.714,813.603
2278.095,815.080
2290.476,812.395
2302.857,813.388
2315.238,813.244
2327.619,814.457
2340.000,812.043
2352.381,811.171
2364.762,810.316
2377.143,809.821
2389.524,807.732
2401.905,809.081
2414.286,807.000
2426.667,807.319
2439.048,806.886
2451.429,807.469
2463.810,804.055
2476.190,804.850
2488.572,802.535
2500.952,802.037
2513.333,800.833
2525.714,801.127
2538.095,799.093
2550.476,797.812
2562.857,796.688
2575.238,798.220
2587.619,798.682
2600.000,796.647
2612.381,796.089
2624.762,794.107
2637.143,794.599
2649.524,791.626
2661.905,791.931
2674.286,791.741
2686.667,793.548
2699.048,790.740
2711.429,788.839
2723.810,786.661
2736.190,787.750
2748.572,787.666
2760.952,785.852
2773.333,783.231
2785.714,783.919
2798.095,786.699
2810.476,785.200
2822.857,783.560
2835.238,783.143
2847.619,784.283
2860.000,782.255
2872.381,780.648
2884.762,781.980
2897.143,780.037
2909.524,778.185
2921.905,778.902
2934.286,778.370
2946.667,777.200
2959.048,776.019
2971.429,776.617
2983.810,775.935
2996.190,774.036
3008.572,772.786
3020.952,771.661
3033.333,772.259
3045.714,773.064
3058.095,769.552
3070.476,770.744
3082.857,768.693
3095.238,768.689
3107.619,767.797
3120.000,767.151
3132.381,765.544
3144.762,766.761
3157.143,765.568
3169.524,765.051
3181.905,763.887
3194.286,761.810
3206.667,762.639
3219.048,763.204
3231.429,759.529
3243.810,759.600
3256.190,760.017
3268.572,758.099
3280.952,757.149
3293.333,756.887
3305.714,754.867
3318.095,755.495
3330.476,753.076
3342.857,752.583
3355.238,752.245
3367.619,751.913
3380.000,750.930
3392.381,749.457
3404.762,750.292
3417.143,750.406
3429.524,749.512
3441.905,747.550
3454.286,746.751
3466.667,745.427
3479.048,746.143
3491.429,743.882
3503.810,744.860
3516.190,744.035
3528.572,744.668
3540.952,743.622
3553.333,743.323
3565.714,742.585
3578.095,741.979
3590.476,741.758
3602.857,740.768
3615.238,739.284
3627.619,740.013
3640.000,740.248
3652.381,738.753
3664.762,737.078
3677.143,736.556
3689.524,735.330
3701.905,735.236
3714.286,735.051
3726.667,733.735
3739.048,732.862
3751.429,732.525
3763.810,732.071
3776.190,733.128
3788.572,730.360
3800.952,731.525
3813.333,731.390
3825.714,730.504
3838.095,729.730
3850.476,728.856
3862.857,728.285
3875.238,727.578
3887.619,726.397
3900.000,725.747
3912.381,725.111
3924.762,725.821
3937.143,724.143
3949.524,725.772
3961.905,724.792
3974.286,724.732
3986.667,723.242
3999.048,723.349
4011.429,721.973
4023.810,721.389
4036.190,720.447
4048.572,720.318
4060.952,720.144
4073.333,720.507
4085.714,720.102
4098.095,721.080
4110.476,719.176
4122.857,717.970
4135.238,718.389
4147.619,717.891
4160.000,717.268
4172.381,715.403
4184.762,714.477
4197.143,715.868
4209.524,714.879
4221.905,714.612
4234.286,714.647
4246.667,713.391
4259.048,713.451
4271.429,712.909
4283.810,713.919
4296.190,712.958
4308.571,712.669
4320.953,711.182
4333.333,710.838
4345.714,710.978
4358.095,710.189
4370.476,709.948
4382.857,710.269
4395.238,709.748
4407.619,708.243
4420.000,707.937
4432.381,708.280
4444.762,707.808
4457.143,707.245
4469.524,707.140
4481.905,707.833
4494.286,706.287
4506.667,706.895
4519.048,706.918
4531.429,706.243
4543.810,705.632
4556.190,705.443
4568.571,704.406
4580.953,704.479
4593.333,703.635
4605.714,704.671
4618.095,703.624
4630.476,703.997
4642.857,703.176
4655.238,703.443
4667.619,702.915
4680.000,703.071
4692.381,703.108
4704.762,703.545
4717.143,702.663
4729.524,701.474
4741.905,700.947
4754.286,701.364
4766.667,699.919
4779.048,700.254
4791.429,700.179
4803.810,701.201
4816.190,699.176
4828.571,699.643
4840.953,699.774
4853.333,698.967
4865.714,698.822
4878.095,699.757
4890.476,699.056
4902.857,697.859
4915.238,698.631
4927.619,698.796
4940.000,699.360
4952.381,698.064
4964.762,697.865
4977.143,696.873
4989.524,696.844
5001.905,697.551
5014.286,697.391
5026.667,695.848
5039.048,696.854
5051.429,695.632
5063.810,696.571
5076.190,696.051
5088.571,696.484
5100.953,695.177
5113.333,694.246
5125.714,695.331
5138.095,695.445
5150.476,695.128
5162.857,695.117
5175.238,695.155
5187.619,694.821
5200.000,694.141
5212.381,694.259
5224.762,694.065
5237.143,693.641
5249.524,694.335
5261.905,693.581
5274.286,692.497
5286.667,693.419
5299.048,694.113
5311.429,693.123
5323.810,693.763
5336.190,692.160
5348.571,692.624
5360.953,691.609
5373.333,691.586
5385.714,692.137
5398.095,691.804
5410.476,691.735
5422.857,690.779
5435.238,691.743
5447.619,691.038
5460.000,691.019
5472.381,690.628
5484.762,690.750
5497.143,690.601
5509.524,691.411
5521.905,689.702
5534.286,691.245
5546.667,690.495
5559.048,689.652
5571.429,689.991
5583.810,689.908
5596.190,689.549
5608.571,689.563
5620.953,689.405
5633.333,689.718
5645.714,689.364
5658.095,689.182
5670.476,689.166
5682.857,688.815
5695.238,688.412
5707.619,688.323
5720.000,688.795
5732.381,688.257
5744.762,688.151
5757.143,688.151
5769.524,688.300
5781.905,688.035
5794.286,688.196
5806.667,687.513
5819.048,687.304
5831.429,687.976
5843.810,687.437
5856.190,687.223
5868.571,686.433
5880.953,687.030
5893.333,686.539
5905.714,686.091
5918.095,686.376
5930.476,686.810
5942.857,687.245
5955.238,686.279
5967.619,686.394
5980.000,686.322
5992.381,685.568
6004.762,686.593
