X,Y
12.381,2633.572
24.762,2489.625
37.143,2451.341
49.524,2381.542
61.905,2353.143
74.286,2358.893
86.667,2373.137
99.048,2419.500
111.429,2490.750
123.810,2535.625
136.190,2548.367
148.571,2513.417
160.952,2441.083
173.333,2392.941
185.714,2349.564
198.095,2305.040
210.476,2285.117
222.857,2263.123
235.238,2239.414
247.619,2254.120
260.000,2280.350
272.381,2334.512
284.762,2430.230
297.143,2454.517
309.524,2513.621
321.905,2528.232
334.286,2469.546
346.667,2481.765
359.048,2449.559
371.429,2405.813
383.810,2373.782
396.190,2371.912
408.571,2366.467
420.952,2364.562
433.333,2375.938
445.714,2381.826
458.095,2429.903
470.476,2426.827
482.857,2407.387
495.238,2378.982
507.619,2358.310
520.000,2316.085
532.381,2315.913
544.762,2306.933
557.143,2284.301
569.524,2258.549
581.905,2240.663
594.286,2219.988
606.667,2234.041
619.048,2241.708
631.429,2246.964
643.810,2262.081
656.190,2280.000
668.571,2285.343
680.952,2292.058
693.333,2289.697
705.714,2308.516
718.095,2308.370
730.476,2317.022
742.857,2316.563
755.238,2332.144
767.619,2344.173
780.000,2349.585
792.381,2359.250
804.762,2364.494
817.143,2340.328
829.524,2332.993
841.905,2326.133
854.286,2314.250
866.667,2332.844
879.048,2344.118
891.429,2359.489
903.810,2395.234
916.190,2416.328
928.571,2423.960
940.952,2437.638
953.333,2431.757
965.714,2405.937
978.095,2404.763
990.476,2401.004
1002.857,2414.788
1015.238,2444.266
1027.619,2466.766
1040.000,2480.278
1052.381,2471.344
1064.762,2464.089
1077.143,2455.607
1089.524,2453.588
1101.905,2451.812
1114.286,2457.902
1126.667,2462.055
1139.048,2472.657
1151.429,2486.870
1163.810,2478.152
1176.191,2467.944
1188.571,2470.061
1200.952,2473.128
1213.333,2484.011
1225.714,2498.312
1238.095,2507.532
1250.476,2528.892
1262.857,2541.212
1275.238,2557.474
1287.619,2567.409
1300.000,2566.000
1312.381,2563.258
1324.762,2572.356
1337.143,2586.870
1349.524,2604.467
1361.905,2611.890
1374.286,2605.647
1386.667,2596.948
1399.048,2590.290
1411.429,2596.338
1423.810,2599.534
1436.191,2606.501
1448.571,2611.309
1460.952,2617.467
1473.333,2625.702
1485.714,2633.852
1498.095,2631.611
1510.476,2624.952
1522.857,2624.158
1535.238,2612.725
1547.619,2607.751
1560.000,2608.252
1572.381,2615.685
1584.762,2631.531
1597.143,2635.697
1609.524,2646.831
1621.905,2666.624
1634.286,2677.306
1646.667,2713.018
1659.048,2732.393
1671.429,2740.063
1683.810,2744.244
1696.191,2748.208
1708.571,2741.435
1720.952,2747.227
1733.333,2763.810
1745.714,2768.899
1758.095,2769.073
1770.476,2776.610
1782.857,2793.371
1795.238,2804.256
1807.619,2809.813
1820.000,2802.179
1832.381,2800.898
1844.762,2793.502
1857.143,2780.707
1869.524,2782.259
1881.905,2786.779
1894.286,2801.227
1906.667,2833.818
1919.048,2852.068
1931.429,2875.219
1943.810,2881.775
1956.191,2896.124
1968.571,2909.979
1980.952,2909.655
1993.333,2909.820
2005.714,2911.389
2018.095,2915.032
2030.476,2923.121
2042.857,2923.857
2055.238,2889.409
2067.619,2872.960
2080.000,2862.313
2092.381,2834.125
2104.762,2819.121
2117.143,2806.116
2129.524,2782.272
2141.905,2782.693
2154.286,2798.427
2166.667,2803.840
2179.048,2821.053
2191.429,2794.340
2203.810,2764.593
2216.190,2725.946
2228.572,2680.434
2240.952,2646.500
2253.333,2639.157
2265.714,2630.745
2278.095,2641.575
2290.476,2654.737
2302.857,2640.089
2315.238,2646.249
2327.619,2636.411
2340.000,2626.957
2352.381,2631.299
