X,Y
12.381,2409.095
24.762,2275.250
37.143,2133.318
49.524,2039.667
61.905,2023.071
74.286,1990.119
86.667,1985.350
99.048,1971.175
111.429,1956.578
123.810,1926.375
136.190,1911.267
148.571,1894.788
160.952,1943.986
173.333,1969.164
185.714,1961.660
198.095,1988.114
210.476,1997.433
222.857,1986.318
235.238,1999.760
247.619,2005.889
260.000,1999.850
272.381,1969.395
284.762,1976.625
297.143,1962.907
309.524,1978.648
321.905,1979.304
334.286,1969.688
346.667,1941.714
359.048,1929.618
371.429,1915.113
383.810,1890.855
396.190,1872.310
408.571,1864.394
420.952,1872.946
433.333,1902.277
445.714,1911.443
458.095,1938.641
470.476,1945.560
482.857,1907.274
495.238,1916.078
507.619,1908.993
520.000,1897.622
532.381,1901.402
544.762,1890.060
557.143,1876.425
569.524,1867.972
581.905,1861.877
594.286,1870.178
606.667,1894.364
619.048,1904.104
631.429,1901.737
643.810,1892.909
656.190,1873.223
668.571,1849.789
680.952,1845.106
693.333,1838.524
705.714,1843.674
718.095,1863.032
730.476,1877.489
742.857,1889.138
755.238,1900.467
767.619,1901.109
780.000,1890.753
792.381,1889.289
804.762,1885.400
817.143,1874.081
829.524,1890.462
841.905,1903.526
854.286,1922.988
866.667,1965.028
879.048,2013.916
891.429,2037.502
903.810,2045.818
916.190,2044.553
928.571,2042.023
940.952,2036.889
953.333,2021.868
965.714,2006.601
978.095,2001.080
990.476,1998.640
1002.857,2012.330
1015.238,2019.262
1027.619,2026.167
1040.000,2034.307
1052.381,2039.242
1064.762,2057.558
1077.143,2055.311
1089.524,2070.554
1101.905,2086.282
1114.286,2087.299
1126.667,2101.345
1139.048,2094.239
1151.429,2082.336
1163.810,2059.385
1176.191,2056.993
1188.571,2066.926
1200.952,2078.270
1213.333,2109.633
1225.714,2125.775
1238.095,2132.179
1250.476,2116.592
1262.857,2097.857
1275.238,2087.786
1287.619,2080.155
1300.000,2068.391
1312.381,2065.107
1324.762,2066.362
1337.143,2059.319
1349.524,2065.636
1361.905,2063.924
1374.286,2077.169
1386.667,2107.433
1399.048,2128.257
1411.429,2132.084
1423.810,2141.931
1436.191,2149.598
1448.571,2152.659
1460.952,2171.171
1473.333,2193.136
1485.714,2203.499
1498.095,2214.304
1510.476,2217.420
1522.857,2219.345
1535.238,2215.070
1547.619,2208.666
1560.000,2198.611
1572.381,2192.395
1584.762,2197.329
1597.143,2196.671
1609.524,2191.956
1621.905,2185.513
1634.286,2172.716
1646.667,2175.124
1659.048,2166.639
1671.429,2167.968
1683.810,2160.279
1696.191,2158.543
1708.571,2165.596
1720.952,2162.738
1733.333,2168.038
1745.714,2173.416
