,Replicate,treat,strain,rep,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720
0,1,0,NoCells,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,NoCells,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,NoPlasmid,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,NoPlasmid,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,pAL101,1,10575.10785883139,10507.614855396627,10361.841625799743,10540.970520851559,10659.508746400741,10966.789465282607,11230.44101298798,11387.55930198458,11662.268604733883,11878.172281555799,12068.12542858056,12072.599248501307,12148.43769072364,12099.892817914184,12073.046120360379,12242.75754601967,12102.490907893418,12020.341325107778,12059.219014562454,11972.198284532724,11790.356264480335,11678.892304494859,11569.560148146104,11426.923338883731,11396.395841550599,11436.382996839522,11496.963686881212,11454.989641082828,11519.590757731301,11550.980147048127,11593.264787551141,11726.436499233057,11956.250133621506,12039.372195274726,12235.68602668483,12362.769031052627,12266.706380170903,12332.751173851717,12208.536331086958,12152.364583743702,12062.02859278965,11977.416826461342,11898.048108468354,11792.528915773439,11653.376047059695,11440.18919778175,11318.452741568828,11162.909949231529,11035.533068380297,10938.836915763437,10870.106845936349,10840.128099405332,10730.337344856087,10721.200528266798,10648.415263612798,10632.579911937535,10567.108124333648,10560.878954767575,10526.92678325837,10546.712187911404,10654.762470046959,10528.703666439844,10577.35680892787,10578.770386106055,10608.482959298555,10650.495995543155,10728.825290513367,10841.670792886325,10998.487541938315,11156.08219777734,11319.058266587912,11461.08097711504,11599.40807715779,11865.513902157189,11958.568688115467,12104.387028068628,12108.308533671168,12213.976382032648,12142.857405938756,11997.961100723687,11779.850121950161,11632.23935308631,11468.334188740546,11474.256156190144,11303.21753696616,11244.258696239613,11226.35879877457,11119.698290042274,11085.194721317452,11000.984653177726,11019.045167206034,10963.572177820251,10948.108146634817,10921.999845994858,10885.880217932476,10857.473784178532,10942.851137139356,10967.556472078484,10920.374830810779,10850.009128927552,10769.376932847563,10803.554525745169,10799.925077418953,10887.2184744792,10871.516538639935,10891.494022425384,11199.850834291616,11120.54685275382,11215.917815760358,11343.749930397333,11481.413782809246,11613.78517223344,11759.897744848302,11909.419868056139,11929.2544233799,11858.502462717513,11742.938951153616,11612.040711783638,11531.355879094015,11364.038818953524,11285.310238521319,11042.362017002491,11005.78192561567,10940.291235302162,10890.70972329838,10808.466054901319,10788.971632257399,10510.873739358625,10671.256384324246,10563.935824795017,10637.933587636688,10556.974911945228,10629.144885987876,11007.10861917879,10907.401004904888,10844.856146538628,10712.131312515365,10640.854755457434,10659.321834917693,10669.435714563822,10636.784895968933,10679.388105832388,10808.678135023161,10902.982248651197,10974.85252279606
5,1,0,pAL101,2,10334.16847322597,10341.098442523153,10137.42955352371,10354.331301529774,10654.49069810497,10826.023810679677,11155.742967746462,11274.444025099609,11545.454339899452,11811.911748985336,11891.891483207513,11925.969123290042,12040.022627103397,12019.128553112201,11991.82778595855,12003.948319820722,12002.861691586251,11947.633911713385,11953.612105852546,11816.998978754811,11668.064222613655,11613.561856238197,11538.155763500481,11414.766714873547,11401.129400878428,11365.800394720258,11405.521649462644,11381.486540909811,11466.165043553066,11461.461632877401,11563.51735852978,11646.496293542277,11848.713025911784,11983.979741208468,12108.140831999282,12218.225851033485,12208.099562754904,12225.138112944056,12110.855936126934,12085.819324226786,11950.672862948257,11898.173380920773,11811.495377970778,11708.041371594849,11576.420780735782,11332.982324148008,11186.750225020749,11109.966372020786,10891.946990217286,10839.868331426234,10801.402113765436,10739.454075232117,10601.226931839767,10595.382475941711,10550.32589454703,10500.119655433064,10465.447781718914,10427.731857874804,10443.820969343393,10480.167387877824,10654.378149422299,10475.755196330945,10444.545212208865,10471.145819660498,10469.904159195457,10563.976167731318,10623.61718933311,10749.450155163067,10889.423760024933,11054.806948894922,11192.382534182483,11340.781783616201,11525.31546991198,11724.946313627968,11849.343638114227,11978.115204085161,12024.308338691213,12141.96227666625,12061.021332950491,11882.352344760982,11690.285351339373,11492.200434136159,11482.617676488158,11369.750785629516,11185.409707497667,11213.287393352295,11182.167185936136,11060.240974445649,10981.177557589152,10913.44176772027,10938.556848058648,10878.445972581181,10931.198479189203,10833.49697710391,10826.786898050925,10878.841380332242,10822.104747237345,10831.385761873402,10839.798305280416,10779.62148396845,10652.465568979513,10679.946265083263,10717.00931970172,10806.328574367932,10756.111819609849,10805.204704157315,11030.656616663438,10987.28442361881,11117.537580473667,11280.714661367465,11349.398182200317,11545.000946426146,11645.802869730196,11800.991365198657,11805.378270718085,11779.799347799602,11712.315863009766,11574.575236523016,11513.513909194324,11283.66217810673,11176.364758364873,10998.929401942916,10898.596786237878,10890.386455619231,10769.909783935049,10692.564175330494,10705.489108354319,10426.573417881507,10565.445254778218,10505.384262735066,10514.28536702324,10452.269624825021,10564.47400560349,10938.572324932005,10770.547487908463,10739.159656107302,10683.209063452607,10541.27149945083,10530.1372602755,10530.66022678386,10588.235534418873,10592.061535979352,10713.096148862878,10841.79002749068,10904.273434075545
6,1,0,pAL102,1,514.0186854802938,973.3840718913453,1346.5784221984093,2203.147340962839,2969.613341324472,3931.39824005735,4851.17180414369,5635.593267512439,6247.1264881413,6808.976026980786,7213.541469601402,7500.000312924398,7748.312525238573,7924.616448670458,8110.5573421585,8191.065851675131,8119.364630551162,8078.859533860748,7972.142302893282,7831.3257211224045,7621.282987788398,7401.9985359706325,7205.882552469461,6946.284411371841,6751.269200114249,6586.145988582001,6407.394178902149,6154.635870195605,5893.333614349378,5732.984460471826,5550.193234122357,5347.0682346956855,5239.887231822408,5029.2577535133205,4903.816954541216,4748.114668031451,4554.130600790497,4349.234388518547,4195.804174817671,4008.657859711747,3806.267648556751,3664.8771965078595,3519.7093140912316,3359.180358766687,3238.1997541893998,3074.829842205863,2924.4014586278345,2786.361137902239,2683.571016428548,2570.533005336705,2453.4643562200695,2371.4505619118627,2344.387795026727,2256.436115933566,2198.492432020821,2125.9646840530295,2071.181423994039,2020.6489405503103,1998.5358876674738,1947.0744510574516,1972.0009736547524,1884.89195485377,1861.4615255018148,1833.6484580686295,1811.7813170127372,1793.9109248910095,1788.5421494564227,1784.6367608661822,1784.3952994794818,1765.1114980312466,1775.6365882626715,1751.824801893822,1761.0921195993933,1767.2414397207117,1740.5062818389706,1761.0062900626353,1751.906762565205,1748.939031725216,1716.7001303625368,1678.4765690176082,1637.9691569925035,1628.060983762873,1585.3122826635417,1573.770442594608,1538.1262785650115,1534.6211990214497,1514.1683664542122,1525.2046741608683,1503.436466457544,1490.5901799776698,1482.8247552983387,1480.381719916591,1473.6395534007838,1464.3910944098207,1467.5053276434028,1470.035531388725,1500.000022351742,1432.7181750272994,1460.0949507824419,1439.1447901722563,1456.708982733482,1439.6411384149005,1444.8283628144147,1456.6451020371896,1446.9971818943104,1449.1881279176912,1484.5938369684598,1488.8534605091406,1491.3502337836733,1517.0094667735564,1541.642136285221,1558.2628584079619,1583.7902020219005,1587.053919281412,1597.3571324303841,1580.576584986398,1574.4844542934018,1564.4172325462819,1562.021453482643,1535.0960434562005,1515.26652655117,1450.453900429554,1491.8899138005281,1479.5343070244498,1469.1588785046729,1462.0535327838331,1455.896048681914,1404.0274128260937,1444.0965197105895,1413.6221766028261,1424.1258667783818,1408.296997237177,1429.3507164386879,1519.9274824002282,1465.9686467115973,1477.619941845326,1446.4958258542447,1443.078534020472,1415.8662810827734,1439.474608398227,1428.3194653618914,1442.4092513224787,1465.4718076438053,1475.8983606994334,1495.7190529075706
7,1,0,pAL102,2,614.1732635127926,982.9721349531643,1416.8531612082677,2161.383304608303,3019.525757271909,4001.331610640026,4865.211703546963,5704.698281999851,6375.799597140581,6934.144697100324,7254.077260216425,7591.092708908673,7792.39803021628,8053.849939816482,8110.200526314452,8243.967566700858,8161.41538682567,8149.872699422296,8127.588827794596,7853.678591397918,7681.387863854325,7517.4557824954345,7290.0037506296085,6995.9303316402375,6770.9088561002945,6565.620271884067,6392.98245614035,6125.042962643166,5932.259933020612,5734.035730603838,5531.845942922,5331.430529699516,5242.9021214507375,5061.996113370809,4911.042815485219,4767.830142120485,4554.989445798378,4375.739604845121,4173.735076013949,4020.319200391305,3850.1290492703915,3682.2695533572464,3531.723620213434,3388.981563219043,3239.669340630579,3091.602937284284,2935.928694834566,2819.348017363257,2721.971921469684,2595.2193617381754,2512.3537029961412,2440.8436291823577,2355.350745897958,2290.927477800533,2238.768271625361,2165.4135739461644,2108.403846455312,2040.967382423802,2017.6513398574411,1985.3835654359848,1959.3121613094934,1932.6112251742647,1894.535820182543,1874.7034392995893,1835.7714821399798,1816.0432741552736,1809.0334247663634,1810.7666771777901,1809.3250470439802,1785.4670239377574,1820.4832622096071,1795.2827212915215,1789.3777309783409,1786.6909318962669,1793.4782670666455,1777.176367896623,1760.864685622821,1767.2123923080808,1738.839333834204,1721.8396736522518,1676.633546777205,1636.08229735195,1628.4707049394372,1605.9676331118003,1577.1078919418474,1574.4773574752082,1560.3297748896707,1536.6328634934453,1528.3466151171335,1524.442535164657,1509.1919786835642,1514.5713066502565,1510.715108609279,1488.2836600551038,1485.6903257350884,1484.5058258896252,1490.9167179141332,1490.1144138222155,1484.9236633844816,1474.2268403590792,1484.0698913113647,1476.4141518025963,1486.761800314629,1479.0735751368923,1488.9743625448805,1491.8461180798608,1518.3772362319119,1503.2940589379575,1546.1247536566946,1560.8884896478532,1581.0276188172734,1600.31530269134,1603.2181566558695,1626.5885456651936,1635.1956962460683,1633.7209106061146,1634.7825559741498,1595.233505380999,1588.6416724754895,1568.8143264605412,1562.1437599411308,1516.5876571611748,1519.7281061455867,1505.7406869876547,1502.4354262258632,1482.1029251417567,1472.7239126479055,1440.458556512018,1480.5243319901333,1447.9971213123988,1462.8780564086455,1450.437251747426,1461.6365732339304,1563.1808300519467,1501.7187899833434,1507.2934333788062,1472.2271683349416,1471.4286340742722,1458.0736533327936,1448.3985507052398,1471.2643814625796,1476.711434832819,1491.197203128401,1488.0533751330406,1509.7970775070696
8,1,0,pAL103,1,12715.120789207702,12789.734359728545,12523.96096493935,12625.571477254389,12684.711694302403,13121.468791784944,13491.204138662566,13748.38667382312,14022.209305226159,14259.587281396796,14332.958560916257,14358.143566335204,14467.425090059412,14472.636197912274,14412.743555686451,14569.444830402927,14520.731120402881,14317.693435287747,14425.747402284274,14279.886044282492,14032.322098642911,14043.94683039864,13958.568073886838,13802.559463119363,13789.888797181178,13777.544579927415,13876.076266749658,13806.6467643573,13881.233261371546,13935.110240710159,13986.742342138086,14066.852184998881,14268.218486968488,14288.728685442,14450.059203145162,14440.528604027397,14403.828906794342,14342.59535658198,14169.96010995431,14160.828962871727,13954.06706046127,13888.280900236336,13731.463685177587,13627.607870387092,13479.066788274877,13240.837597166648,13147.379318480616,12938.92166340446,12773.83353703845,12689.307795551353,12578.39689309625,12506.161024440598,12448.730674539664,12349.528108736662,12350.962062278155,12261.36613537065,12272.082608554116,12227.677242127078,12254.924925109766,12200.505325661756,12250.627326553835,12187.500042111977,12198.295742419443,12198.487373581778,12243.85982677304,12361.753337009079,12403.405514606706,12523.870835727801,12685.084626034894,12833.833693446204,12849.519966192498,13022.419898302069,13157.894326369897,13368.200316728595,13553.20518776888,13550.978053391067,13538.20867177417,13638.589356696455,13585.746794995694,13320.587755877259,13118.128504882212,12964.292562390616,12863.384273592548,12727.990623306881,12608.866453202374,12523.456037302609,12483.469332847235,12377.825227747773,12321.771994407922,12292.346255824812,12265.520557205944,12119.771940026812,12152.330489674541,12042.970560058648,12024.747517214993,12044.136677935863,12044.312251478257,11980.327209514084,11971.986522241019,11942.301131230051,11842.9725205475,11854.955728478333,11836.80878541041,11918.204851857778,11828.478938035469,11967.799877019514,12110.89307144055,12072.630483424515,12221.043437846018,12398.660294349706,12514.896455744069,12703.316156182796,12789.163450286167,12960.332899579182,12991.025720222066,12935.62199992179,12858.606726997397,12664.854269940952,12684.084933981578,12473.808554331197,12288.933827632603,12048.919020423287,11981.336160220364,12027.319918070747,11865.584729693528,11784.772703401579,11792.716890407053,11462.016996426402,11620.38558001584,11553.20864804876,11571.265911631748,11524.685290170795,11643.548790070085,12151.79770026601,11970.884842912952,11801.24264648672,11777.601172714889,11808.393099159566,11693.764552283186,11777.112914995289,11723.168693360616,11818.605179206068,11930.478438954957,12074.039752915627,12159.493583806181
9,1,0,pAL103,2,12820.93186416286,13035.27526413611,12738.8536216734,12711.993971816592,12863.404282759722,13265.591670413676,13682.431925477315,13956.46649093548,14228.188656281982,14416.56823705743,14450.60930099118,14421.949385172871,14633.264271788605,14682.854869779116,14632.983198769556,14817.21350721391,14590.236464023557,14579.722300004962,14529.015633124907,14448.091842788648,14248.910151622214,14205.825440015496,14074.214902301097,13899.301464244038,13926.380348926406,13910.143265248902,13976.567950817318,13838.656016704655,13802.816860448009,13876.962654066787,13946.541215105864,13929.781273203153,14069.803016467582,14129.59111981976,14260.459760870588,14290.708314085672,14145.077182401594,14138.912420309158,13973.026398648137,13913.043572560497,13791.012270724941,13707.344066003376,13596.231895325267,13435.583288609709,13280.381094009106,13062.026001459219,12957.672973811972,12778.3483333978,12634.258284870539,12530.973202044614,12525.708476396065,12421.078680610559,12320.76850736018,12319.902126234612,12237.353481078359,12198.120656977511,12220.626955400332,12104.640968660433,12129.91210120883,12149.532520778317,12119.666013391283,12156.185053215975,12105.86391409807,12149.173208804921,12148.649209675397,12264.362475978833,12310.774493664521,12451.828005259507,12648.744041072217,12768.523210423496,12765.911305875743,12964.965595796333,13098.71260719192,13335.475355001836,13521.545144281548,13466.24442770775,13484.562028977456,13567.996217018952,13458.662605752,13305.067834921374,13077.398062573726,12903.82203932163,12798.69007922047,12685.411654283984,12541.448350241675,12505.051047129868,12460.302104676888,12336.466879248848,12291.416662628382,12222.44245984437,12195.170176663682,12052.090858605516,12124.606834153248,12014.89617980675,11970.376102728324,11930.779187300403,11910.766642990999,11884.42210836222,11868.152886418879,11859.66299084718,11708.571215882597,11764.147873873704,11751.134989920794,11825.051780703881,11745.733757609605,11819.369935248242,12059.207057168755,11961.509948268858,12115.171741753213,12274.820417540011,12415.626754138819,12615.13162731652,12672.601917652119,12841.609596100036,12872.897668508649,12832.224774371492,12805.227760729525,12644.230696227161,12509.776253991377,12349.397786510724,12189.870859930059,12080.252888502637,11939.722662178821,11867.997470342087,11784.160178375112,11744.850417597141,11679.95794309653,11414.801990457807,11571.157741952364,11515.46211488057,11479.965460730633,11440.951636683594,11500.762768814513,12015.203080139385,11817.415704227553,11730.898063338036,11648.297034713802,11584.817817503606,11571.002270794634,11607.556688005563,11616.727533014398,11677.578215305673,11768.84147086863,11908.185347131717,11984.08806438102
