treats,rep,ddCq,foldCng,foldCng_log2,xPos
0.0,1,-0.10000000000000142,0.9330329915368065,-0.10000000000000142,1
0.0,2,0.05000000000000071,1.035264923841378,0.05000000000000071,1
0.0,3,0.05000000000000071,1.035264923841378,0.05000000000000071,1
0.1,1,-0.019999999999999574,0.9862327044933594,-0.019999999999999574,3
0.1,2,-0.03999999999999915,0.9726549474122861,-0.03999999999999915,3
0.1,3,0.020000000000003126,1.0139594797900313,0.020000000000003126,3
1.0,1,-0.00999999999999801,0.9930924954370373,-0.00999999999999801,5
1.0,2,0.370000000000001,1.2923528306374932,0.370000000000001,5
1.0,3,0.20000000000000284,1.1486983549970373,0.20000000000000284,5
10.0,1,-0.00999999999999801,0.9930924954370373,-0.00999999999999801,7
10.0,2,0.240000000000002,1.180992661429532,0.240000000000002,7
10.0,3,0.4100000000000037,1.328685814096515,0.4100000000000037,7
100.0,1,-0.08999999999999986,0.9395227492140119,-0.08999999999999986,9
100.0,2,-0.039999999999995595,0.9726549474122885,-0.039999999999995595,9
100.0,3,0.20000000000000284,1.1486983549970373,0.20000000000000284,9
1000.0,1,-0.5999999999999979,0.6597539553864481,-0.5999999999999979,11
1000.0,2,-0.4499999999999993,0.732042847972813,-0.4499999999999993,11
1000.0,3,-0.5299999999999976,0.6925547340554635,-0.5299999999999976,11
10000.0,1,-0.6699999999999982,0.628506687260915,-0.6699999999999982,13
10000.0,2,-0.5399999999999956,0.6877709090698739,-0.5399999999999956,13
10000.0,3,-0.379999999999999,0.7684375906440067,-0.379999999999999,13
