treats,rep,ddCq,foldCng,foldCng_log2,xPos
0.0,1,-0.27999999999999875,0.8235910172675739,-0.27999999999999875,1
0.0,2,-0.13000000000000017,0.9138314502294004,-0.13000000000000017,1
0.0,3,0.409999999999999,1.3286858140965105,0.409999999999999,1
0.1,1,0.29999999999999954,1.2311444133449159,0.29999999999999954,3
0.1,2,0.3700000000000034,1.2923528306374952,0.3700000000000034,3
0.1,3,0.17000000000000054,1.1250584846888099,0.17000000000000054,3
1.0,1,1.270000000000002,2.411615655381524,1.270000000000002,5
1.0,2,1.3100000000000012,2.479415399877975,1.3100000000000012,5
1.0,3,1.3500000000000003,2.549121254638525,1.3500000000000003,5
10.0,1,4.790000000000002,27.66519140185172,4.790000000000002,7
10.0,2,4.860000000000002,29.04061297014919,4.860000000000002,7
10.0,3,5.080000000000001,33.8245772979642,5.080000000000001,7
100.0,1,5.87,58.48521281468164,5.87,9
100.0,2,5.980000000000003,63.118893087575124,5.980000000000003,9
100.0,3,6.040000000000002,65.79928490598834,6.040000000000002,9
1000.0,1,5.530000000000004,46.20573425672,5.530000000000004,11
1000.0,2,5.700000000000002,51.98415336679914,5.700000000000002,11
1000.0,3,5.680000000000002,51.2684721657359,5.680000000000002,11
10000.0,1,5.310000000000001,39.67064639804761,5.310000000000001,13
10000.0,2,5.570000000000003,47.50475426012967,5.570000000000003,13
10000.0,3,5.550000000000003,46.85074227026012,5.550000000000003,13
